attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Burgas,Bulgaria,Nature/Scenery/Park,Sunrise Bay Nature Reserve,"Sunrise Bay Nature Reserve is a nature in Burgas, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Sunrise Bay Nature Reserve, a peaceful nature in Burgas, Bulgaria, ideal for nature lovers. Open 08:30-17:00, entry 17.5 USD.",17.5,08:30-17:00,3 hours,3.7,"200-8 Higashi 1-chome, Burgas",42.56950904866526,27.465234731518585,"['fast-paced budget travel', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
2,Burgas,Bulgaria,Nature/Scenery/Park,Sunrise Grove Adventure Trail,"Sunrise Grove Adventure Trail is a nature in Burgas, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Sunrise Grove Adventure Trail, a peaceful nature in Burgas, Bulgaria, ideal for nature lovers. Open 08:30-17:30, entry 2.0 USD.",2.0,08:30-17:30,3 hours,3.7,"No. 1500 Century Avenue, Burgas",42.507695737745664,27.48049515117949,"['fast-paced budget travel', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'High speed WiFi']"
3,Burgas,Bulgaria,Nature/Scenery/Park,Sunrise Hollow Sanctuary,"Sunrise Hollow Sanctuary is a nature in Burgas, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Sunrise Hollow Sanctuary, a peaceful nature in Burgas, Bulgaria, ideal for nature lovers. Open 09:00-21:00, entry 7.57 USD.",7.57,09:00-21:00,3 hours,3.7,"No. 456, Cultural Avenue, Burgas",42.57530093691157,27.46737611960859,"['with pets', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
4,Burgas,Bulgaria,Nature/Scenery/Park,Sunset Bay Trail,"Sunset Bay Trail is a nature in Burgas, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Sunset Bay Trail, a peaceful nature in Burgas, Bulgaria, ideal for nature lovers. Open 18:00-21:00, entry 22.61 USD.",22.61,18:00-21:00,3 hours,3.7,"332 Shinsaibashi Street, Burgas",42.45607479471092,27.4127035315148,"['fast-paced budget travel', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
5,Burgas,Bulgaria,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in Burgas, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in Burgas, Bulgaria, ideal for nature lovers. Open 09:00-18:00, entry 15.4 USD.",15.4,09:00-18:00,3 hours,3.7,"117 Silom Road, Sukhumvit, Burgas",42.56373392102504,27.504882299689125,"['nightlife enthusiast', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
6,Burgas,Bulgaria,Nature/Scenery/Park,Velvet Ridge Preserve,"Velvet Ridge Preserve is a nature in Burgas, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Velvet Ridge Preserve, a peaceful nature in Burgas, Bulgaria, ideal for nature lovers. Open 09:00-17:30, entry 11.76 USD.",11.76,09:00-17:30,3 hours,3.7,"418 Seongsan-ro, Burgas",42.44139698923341,27.4682797629846,"['with children', 'disabled traveler', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'wheelchair rental', 'benches/rest areas']"
7,Burgas,Bulgaria,Nature/Scenery/Park,Sunrise Ridge Culinary Escape,"Sunrise Ridge Culinary Escape is a nature in Burgas, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Sunrise Ridge Culinary Escape, a peaceful nature in Burgas, Bulgaria, ideal for nature lovers. Open 08:30-17:30, entry 51.08 USD.",51.08,08:30-17:30,3 hours,3.7,"975 Sakura Street, Burgas",42.50642890562703,27.361732950559382,['elderly travelers'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas']"
8,Burgas,Bulgaria,Nature/Scenery/Park,Sunset Bay Explorer Pass + Golden Hill Sky Ride + Ocean View Garden,"Sunset Bay Explorer Pass + Golden Hill Sky Ride + Ocean View Garden is a nature in Burgas, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Sunset Bay Explorer Pass + Golden Hill Sky Ride + Ocean View Garden, a peaceful nature in Burgas, Bulgaria, ideal for nature lovers. Open 09:30-17:00, entry 4.36 USD.",4.36,09:30-17:00,3 hours,3.7,"759 Orchard Road, Burgas",42.48378147899504,27.435871178727,"['nightlife enthusiast', 'with children', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'High speed WiFi']"
9,Burgas,Bulgaria,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Burgas, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Burgas, Bulgaria, ideal for nature lovers. Open 09:00-17:30, entry 6.17 USD.",6.17,09:00-17:30,3 hours,3.7,"No. 1500 Century Avenue, Burgas",42.486433043055264,27.41075883831612,"['fast-paced budget travel', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
10,Burgas,Bulgaria,Nature/Scenery/Park,Sunspark Park,"Sunspark Park is a nature in Burgas, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Sunspark Park, a peaceful nature in Burgas, Bulgaria, ideal for nature lovers. Open 08:30-17:30, entry 19.18 USD.",19.18,08:30-17:30,3 hours,3.7,"No. 456, Zhongshan Road, Burgas",42.54476549187658,27.48977011483388,['with children'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities']"
