attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Venezia,Italy,Nature/Scenery/Park,Lagoon Mirage Reserve,"Lagoon Mirage Reserve is a nature in Venezia, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Lagoon Mirage Reserve, a peaceful nature in Venezia, Italy, ideal for nature lovers. Open 09:00-17:00, entry 51.08 USD.",51.08,09:00-17:00,3 hours,3.7,"No. 456, Xuefu Road, Venezia",45.4707079783792,12.24951384164568,"['solo women', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Venezia,Italy,Nature/Scenery/Park,Canalwood Greenway Trek,"Canalwood Greenway Trek is a nature in Venezia, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Canalwood Greenway Trek, a peaceful nature in Venezia, Italy, ideal for nature lovers. Open 08:00-19:00, entry 43.59 USD.",43.59,08:00-19:00,3 hours,3.7,"No. 456, West Lake Cultural Road, Venezia",45.52801619488952,12.4808501403595,"['elderly travelers', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
3,Venezia,Italy,Nature/Scenery/Park,Lagoon Whisper Grove,"Lagoon Whisper Grove is a nature in Venezia, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Lagoon Whisper Grove, a peaceful nature in Venezia, Italy, ideal for nature lovers. Open 08:30-17:00, entry 7.57 USD.",7.57,08:30-17:00,3 hours,3.7,"131-8901 Sapporo City, Nishi 1-chome, Venezia",45.45192001179787,12.42660132613192,"['road trip', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'group tours', 'security', 'High speed WiFi']"
4,Venezia,Italy,Nature/Scenery/Park,Lagoon Pathway Discovery,"Lagoon Pathway Discovery is a nature in Venezia, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Lagoon Pathway Discovery, a peaceful nature in Venezia, Italy, ideal for nature lovers. Open 08:30-17:00, entry 5.6 USD.",5.6,08:30-17:00,3 hours,3.7,"120 Gwangbok-ro, Ssangmundong-gu, Venezia",45.54625797358118,12.184337438381911,"['with children', 'fast-paced budget travel', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'High speed WiFi']"
5,Venezia,Italy,Nature/Scenery/Park,Lagoon Moonlit Drift,"Lagoon Moonlit Drift is a nature in Venezia, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Lagoon Moonlit Drift, a peaceful nature in Venezia, Italy, ideal for nature lovers. Open 09:30-17:00, entry 116.65 USD.",116.65,09:30-17:00,3 hours,3.7,"177-12-8 Shibuya, Shibuya City, Venezia",45.50227550908583,12.256739114328994,"['nightlife enthusiast', 'with children', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours']"
6,Venezia,Italy,Nature/Scenery/Park,Lagoon Veil Gardens,"Lagoon Veil Gardens is a nature in Venezia, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Lagoon Veil Gardens, a peaceful nature in Venezia, Italy, ideal for nature lovers. Open 08:30-17:00, entry 12.32 USD.",12.32,08:30-17:00,3 hours,3.7,"579 Seocho-ro, Geumjeong-gu, Venezia",45.5045416918451,12.290481424279577,"['photography', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
7,Venezia,Italy,Nature/Scenery/Park,Lagoon Vista Culinary Grove,"Lagoon Vista Culinary Grove is a nature in Venezia, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Lagoon Vista Culinary Grove, a peaceful nature in Venezia, Italy, ideal for nature lovers. Open 19:00-23:00, entry 1.4 USD.",1.4,19:00-23:00,3 hours,3.7,"641 Nihonbashi 2-chome, Chuo City, Venezia",45.34560596731944,12.324520202210822,"['fast-paced budget travel', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
8,Venezia,Italy,Nature/Scenery/Park,Lido di San Marco Coastal Express + Murano Glass Skyway + Burano Skyline Views,"Lido di San Marco Coastal Express + Murano Glass Skyway + Burano Skyline Views is a nature in Venezia, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Lido di San Marco Coastal Express + Murano Glass Skyway + Burano Skyline Views, a peaceful nature in Venezia, Italy, ideal for nature lovers. Open 08:30-17:30, entry 12.93 USD.",12.93,08:30-17:30,3 hours,3.7,"260-889, Nishi 1-chome, Venezia",45.33928774398827,12.32741013102167,"['nightlife enthusiast', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Venezia,Italy,Nature/Scenery/Park,Lagoon Horizon,"Lagoon Horizon is a nature in Venezia, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Lagoon Horizon, a peaceful nature in Venezia, Italy, ideal for nature lovers. Open 08:30-17:00, entry 94.11 USD.",94.11,08:30-17:00,3 hours,3.7,"759 Sports Plaza, Venezia",45.4766041415191,12.42500641475942,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
10,Venezia,Italy,Nature/Scenery/Park,Lagoon Leap Adventure Gardens,"Lagoon Leap Adventure Gardens is a nature in Venezia, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Lagoon Leap Adventure Gardens, a peaceful nature in Venezia, Italy, ideal for nature lovers. Open 09:00-18:00, entry 14.4 USD.",14.4,09:00-18:00,3 hours,3.7,"302-10-18 Nishi-Umeda, Venezia",45.50359880350675,12.357830851329432,"['nightlife enthusiast', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
