attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Bangalore,India,Nature/Scenery/Park,Mysore Falls Green Haven,"Mysore Falls Green Haven is a nature in Bangalore, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Mysore Falls Green Haven, a peaceful nature in Bangalore, India, ideal for nature lovers. Open 08:30-17:00, entry 2059.2 USD.",2059.2,08:30-17:00,3 hours,3.7,"699 Sukhumvit Road, Khlong Toei District, Bangalore",12.892986779875548,77.51134537539276,"['business travelers', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
2,Bangalore,India,Nature/Scenery/Park,Greenway Botanical Trek,"Greenway Botanical Trek is a nature in Bangalore, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Greenway Botanical Trek, a peaceful nature in Bangalore, India, ideal for nature lovers. Open 09:00-17:30, entry 3.36 USD.",3.36,09:00-17:30,3 hours,3.7,"No. 456, Huaqiang North Road, Bangalore",13.004698969111118,77.5333756784988,"['with pets', 'photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
3,Bangalore,India,Nature/Scenery/Park,Silent Ridge Sanctuary,"Silent Ridge Sanctuary is a nature in Bangalore, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Silent Ridge Sanctuary, a peaceful nature in Bangalore, India, ideal for nature lovers. Open 09:30-17:00, entry 94.11 USD.",94.11,09:30-17:00,3 hours,3.7,"809 Siam Road, Bangalore",12.860098796356748,77.54951612085188,"['with pets', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
4,Bangalore,India,Nature/Scenery/Park,Green Valley Trekking Trail,"Green Valley Trekking Trail is a nature in Bangalore, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Green Valley Trekking Trail, a peaceful nature in Bangalore, India, ideal for nature lovers. Open 08:00-17:30, entry 43.59 USD.",43.59,08:00-17:30,3 hours,3.7,"426 Sakura Street, Naka Ward, Bangalore",13.125451664263268,77.62838108866433,"['photography', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
5,Bangalore,India,Nature/Scenery/Park,Lakeside Serenade,"Lakeside Serenade is a nature in Bangalore, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Lakeside Serenade, a peaceful nature in Bangalore, India, ideal for nature lovers. Open 08:00-19:00, entry 24.24 USD.",24.24,08:00-19:00,3 hours,3.7,"454 Phra Singh Road, Bangalore",13.005857548900048,77.55298723387929,"['with children', 'fast-paced budget travel', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
6,Bangalore,India,Nature/Scenery/Park,Silent Ridge Retreat,"Silent Ridge Retreat is a nature in Bangalore, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Silent Ridge Retreat, a peaceful nature in Bangalore, India, ideal for nature lovers. Open 08:30-17:30, entry 19.18 USD.",19.18,08:30-17:30,3 hours,3.7,"No. 456, West Street, Xiguan District, Bangalore",12.918125880824917,77.57751035627916,"['with children', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
7,Bangalore,India,Nature/Scenery/Park,Greenwood Escapes and Sake Garden,"Greenwood Escapes and Sake Garden is a nature in Bangalore, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Greenwood Escapes and Sake Garden, a peaceful nature in Bangalore, India, ideal for nature lovers. Open 08:30-17:30, entry 10.5 USD.",10.5,08:30-17:30,3 hours,3.7,"No. 456 Innovation Avenue, Bangalore",13.034871439599382,77.63630185469437,"['with children', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences']"
8,Bangalore,India,Nature/Scenery/Park,Cauvery Riverside Eco Express,"Cauvery Riverside Eco Express is a nature in Bangalore, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Cauvery Riverside Eco Express, a peaceful nature in Bangalore, India, ideal for nature lovers. Open 08:00-20:00, entry 15.4 USD.",15.4,08:00-20:00,3 hours,3.7,"932 Sakura Street, Bangalore",13.035354970337933,77.57791904991085,"['fast-paced budget travel', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
9,Bangalore,India,Nature/Scenery/Park,Skyline Sanctuary,"Skyline Sanctuary is a nature in Bangalore, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Skyline Sanctuary, a peaceful nature in Bangalore, India, ideal for nature lovers. Open 08:30-18:00, entry 7.7 USD.",7.7,08:30-18:00,3 hours,3.7,"933-8901 Nishi-Ku, Fukuoka City, Bangalore",12.857069895658077,77.59095155245099,"['nightlife enthusiast', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'High speed WiFi']"
10,Bangalore,India,Nature/Scenery/Park,GreenLeaf Discovery Hub,"GreenLeaf Discovery Hub is a nature in Bangalore, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover GreenLeaf Discovery Hub, a peaceful nature in Bangalore, India, ideal for nature lovers. Open 09:00-17:30, entry 116.65 USD.",116.65,09:00-17:30,3 hours,3.7,"No. 456, Zhongshan Road, Bangalore",12.935092887486904,77.72715298238302,"['nightlife enthusiast', 'solo women', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
