attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Gran Canaria Island,Spain,Nature/Scenery/Park,La Cumbre Botanical Reserve,"La Cumbre Botanical Reserve is a nature in Gran Canaria Island, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover La Cumbre Botanical Reserve, a peaceful nature in Gran Canaria Island, Spain, ideal for nature lovers. Open 09:00-17:30, entry 4.36 USD.",4.36,09:00-17:30,3 hours,3.7,"162 Marine Road, Gran Canaria Island",28.00751058627167,-15.735661351952505,"['solo women', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'parking']"
2,Gran Canaria Island,Spain,Nature/Scenery/Park,Canyon Vista Trail,"Canyon Vista Trail is a nature in Gran Canaria Island, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Canyon Vista Trail, a peaceful nature in Gran Canaria Island, Spain, ideal for nature lovers. Open 08:30-17:00, entry 12.93 USD.",12.93,08:30-17:00,3 hours,3.7,"No. 88 Riverside Avenue, Gran Canaria Island",27.86887393144391,-15.729781625231093,"['photography', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
3,Gran Canaria Island,Spain,Nature/Scenery/Park,Cumbre Verde Sanctuary,"Cumbre Verde Sanctuary is a nature in Gran Canaria Island, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Cumbre Verde Sanctuary, a peaceful nature in Gran Canaria Island, Spain, ideal for nature lovers. Open 10:00-18:00, entry 6.72 USD.",6.72,10:00-18:00,3 hours,3.7,"879 Mount Katahara Road, Gran Canaria Island",28.1169040620981,-15.496882533892329,"['fast-paced budget travel', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences']"
4,Gran Canaria Island,Spain,Nature/Scenery/Park,Llanos de la Luz Trail,"Llanos de la Luz Trail is a nature in Gran Canaria Island, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Llanos de la Luz Trail, a peaceful nature in Gran Canaria Island, Spain, ideal for nature lovers. Open 08:00-22:00, entry 29.53 USD.",29.53,08:00-22:00,3 hours,3.7,"123 Canton Road, Gran Canaria Island",28.042627218943824,-15.514846735649106,"['nightlife enthusiast', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
5,Gran Canaria Island,Spain,Nature/Scenery/Park,Lunar Bay Nightwalk,"Lunar Bay Nightwalk is a nature in Gran Canaria Island, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Lunar Bay Nightwalk, a peaceful nature in Gran Canaria Island, Spain, ideal for nature lovers. Open 18:00-21:00, entry 116.65 USD.",116.65,18:00-21:00,3 hours,3.7,"465 Sukhumvit Road, Gran Canaria Island",27.90730745276827,-15.798232339577885,"['nightlife enthusiast', 'fast-paced budget travel', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations']"
6,Gran Canaria Island,Spain,Nature/Scenery/Park,Cumbre Verde Nature Reserve,"Cumbre Verde Nature Reserve is a nature in Gran Canaria Island, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Cumbre Verde Nature Reserve, a peaceful nature in Gran Canaria Island, Spain, ideal for nature lovers. Open 09:00-17:00, entry 14.98 USD.",14.98,09:00-17:00,3 hours,3.7,"178-1 Nishi 1-chome, Gran Canaria Island",27.80922554083364,-15.518530127838188,"['photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
7,Gran Canaria Island,Spain,Nature/Scenery/Park,Verdant Vista EcoTrail,"Verdant Vista EcoTrail is a nature in Gran Canaria Island, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Verdant Vista EcoTrail, a peaceful nature in Gran Canaria Island, Spain, ideal for nature lovers. Open 09:00-17:00, entry 7.35 USD.",7.35,09:00-17:00,3 hours,3.7,"No. 1, Tiananmen East Road, Gran Canaria Island",27.967635131459105,-15.809242099075618,"['solo women', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
8,Gran Canaria Island,Spain,Nature/Scenery/Park,La Montaña de los Sueños Express Pass,"La Montaña de los Sueños Express Pass is a nature in Gran Canaria Island, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover La Montaña de los Sueños Express Pass, a peaceful nature in Gran Canaria Island, Spain, ideal for nature lovers. Open 19:00-23:00, entry 31.52 USD.",31.52,19:00-23:00,3 hours,3.7,"133 Seaside Promenade, Gran Canaria Island",27.77055994225526,-15.617898980567947,"['with children', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
9,Gran Canaria Island,Spain,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Gran Canaria Island, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Gran Canaria Island, Spain, ideal for nature lovers. Open 09:00-18:00, entry 51.08 USD.",51.08,09:00-18:00,3 hours,3.7,"No. 456, Xueyuan Road, Gran Canaria Island",27.9845524536757,-15.680891318364036,"['fast-paced budget travel', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
10,Gran Canaria Island,Spain,Nature/Scenery/Park,Lagoon Leap Adventure Park,"Lagoon Leap Adventure Park is a nature in Gran Canaria Island, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Lagoon Leap Adventure Park, a peaceful nature in Gran Canaria Island, Spain, ideal for nature lovers. Open 08:30-17:30, entry 94.11 USD.",94.11,08:30-17:30,3 hours,3.7,"38 Science Museum Road, Gran Canaria Island",28.036547843455363,-15.646200869501971,"['solo women', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
