attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Charlotte,United States,Nature/Scenery/Park,Catawba Creek Preserve,"Catawba Creek Preserve is a nature in Charlotte, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Catawba Creek Preserve, a peaceful nature in Charlotte, United States, ideal for nature lovers. Open 08:00-20:00, entry 6.17 USD.",6.17,08:00-20:00,3 hours,3.7,"988/18 Maha Chai Road, Charlotte",35.22522265478873,-80.86728484752639,"['solo women', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
2,Charlotte,United States,Nature/Scenery/Park,Greenhaven Trail Adventure,"Greenhaven Trail Adventure is a nature in Charlotte, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Greenhaven Trail Adventure, a peaceful nature in Charlotte, United States, ideal for nature lovers. Open 08:30-17:00, entry 8.12 USD.",8.12,08:30-17:00,3 hours,3.7,"No. 456, Riverside Avenue, Jianyang City, Charlotte",35.30895716344733,-80.84153311302722,"['fast-paced budget travel', 'elderly travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,Charlotte,United States,Nature/Scenery/Park,Cedar Hollow Sanctuary,"Cedar Hollow Sanctuary is a nature in Charlotte, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Cedar Hollow Sanctuary, a peaceful nature in Charlotte, United States, ideal for nature lovers. Open 09:00-18:00, entry 12.93 USD.",12.93,09:00-18:00,3 hours,3.7,"581 Sakura Street, Charlotte",35.11489448328937,-80.81422165135169,"['nightlife enthusiast', 'fast-paced budget travel', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
4,Charlotte,United States,Nature/Scenery/Park,Catawba Riverwalk Trail,"Catawba Riverwalk Trail is a nature in Charlotte, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Catawba Riverwalk Trail, a peaceful nature in Charlotte, United States, ideal for nature lovers. Open 10:00-22:00, entry 14.4 USD.",14.4,10:00-22:00,3 hours,3.7,"454 Phra Singh Road, Charlotte",35.31920913552399,-80.94186420854047,"['nightlife enthusiast', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security']"
5,Charlotte,United States,Nature/Scenery/Park,Cerulean River Drift,"Cerulean River Drift is a nature in Charlotte, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Cerulean River Drift, a peaceful nature in Charlotte, United States, ideal for nature lovers. Open 09:00-17:00, entry 22.61 USD.",22.61,09:00-17:00,3 hours,3.7,"634-8745 Shibuya, Charlotte",35.082320769476965,-80.77985729903679,"['with children', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security']"
6,Charlotte,United States,Nature/Scenery/Park,Cedar Hollow Preserve,"Cedar Hollow Preserve is a nature in Charlotte, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Cedar Hollow Preserve, a peaceful nature in Charlotte, United States, ideal for nature lovers. Open 08:00-22:00, entry 29.53 USD.",29.53,08:00-22:00,3 hours,3.7,"809 Sukhumvit Road, Khlong Toei District, Charlotte",35.28692775788757,-80.68232590263763,"['nightlife enthusiast', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Charlotte,United States,Nature/Scenery/Park,Greenhaven EcoVista,"Greenhaven EcoVista is a nature in Charlotte, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Greenhaven EcoVista, a peaceful nature in Charlotte, United States, ideal for nature lovers. Open 10:00-18:00, entry 2059.2 USD.",2059.2,10:00-18:00,3 hours,3.7,"No. 456, Xiamen Science Park, Charlotte",35.231563327627995,-80.7901122375619,"['fast-paced budget travel', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,Charlotte,United States,Nature/Scenery/Park,Carolina Skyline Express Pass + Mount Pleasant Summit Cable Ride + Uptown Greenway Loop,"Carolina Skyline Express Pass + Mount Pleasant Summit Cable Ride + Uptown Greenway Loop is a nature in Charlotte, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Carolina Skyline Express Pass + Mount Pleasant Summit Cable Ride + Uptown Greenway Loop, a peaceful nature in Charlotte, United States, ideal for nature lovers. Open 09:00-17:00, entry 43.59 USD.",43.59,09:00-17:00,3 hours,3.7,"640 Shinkawa Street, Charlotte",35.386961179879435,-80.77144518770602,"['with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
9,Charlotte,United States,Nature/Scenery/Park,Skyline Grove,"Skyline Grove is a nature in Charlotte, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Skyline Grove, a peaceful nature in Charlotte, United States, ideal for nature lovers. Open 08:30-17:30, entry 2.8 USD.",2.8,08:30-17:30,3 hours,3.7,"No. 456, West Mountain Road, Charlotte",35.20802519740601,-80.85367986193779,"['couples trip', 'with pets', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events']"
10,Charlotte,United States,Nature/Scenery/Park,Greenhaven Explorers' Grove,"Greenhaven Explorers' Grove is a nature in Charlotte, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Greenhaven Explorers' Grove, a peaceful nature in Charlotte, United States, ideal for nature lovers. Open 08:30-17:00, entry 13.3 USD.",13.3,08:30-17:00,3 hours,3.7,"No. 456 Riverside Avenue, Charlotte",35.14852033944268,-80.90620823771192,"['with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
