attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Beirut,Lebanon,Nature/Scenery/Park,Mount Lebanon Green Haven,"Mount Lebanon Green Haven is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Mount Lebanon Green Haven, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 09:00-17:30, entry 1.4 USD.",1.4,09:00-17:30,3 hours,3.7,"506/19 Maha Chai Road, Khlong Toei District, Beirut",33.89461179976713,35.49016296966498,"['with children', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
2,Beirut,Lebanon,Nature/Scenery/Park,Green Valley Trek,"Green Valley Trek is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Green Valley Trek, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 19:00-23:00, entry 17.5 USD.",17.5,19:00-23:00,3 hours,3.7,"642-1-1 Shibuya, Shibuya City, Beirut",33.88490610380272,35.500305099193405,"['solo women', 'with pets', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'parking']"
3,Beirut,Lebanon,Nature/Scenery/Park,Mount Lebanon Sanctuary,"Mount Lebanon Sanctuary is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Mount Lebanon Sanctuary, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 18:00-21:00, entry 6.17 USD.",6.17,18:00-21:00,3 hours,3.7,"No. 456, Riverside Park, Beirut",33.8798892828786,35.51169436709209,"['business travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'parking']"
4,Beirut,Lebanon,Nature/Scenery/Park,Lebanon Baywalk,"Lebanon Baywalk is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Lebanon Baywalk, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 09:00-19:00, entry 12.93 USD.",12.93,09:00-19:00,3 hours,3.7,"No. 456, Cultural Avenue, Wuhou District, Beirut",33.87551708718465,35.50308365858123,"['with pets', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas', 'parking']"
5,Beirut,Lebanon,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 08:30-17:00, entry 11.05 USD.",11.05,08:30-17:00,3 hours,3.7,"365 Sakura Street, Naka Ward, Beirut",33.90037272827862,35.51268838765311,"['nightlife enthusiast', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'wheelchair rental', 'benches/rest areas']"
6,Beirut,Lebanon,Nature/Scenery/Park,Mount Lebanon Skyward Trail,"Mount Lebanon Skyward Trail is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Mount Lebanon Skyward Trail, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 10:00-18:00, entry 7.35 USD.",7.35,10:00-18:00,3 hours,3.7,"835 Sakura Street, Chuo-ku, Beirut",33.872776527618825,35.51208673739488,"['nightlife enthusiast', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Beirut,Lebanon,Nature/Scenery/Park,Verdant Ridge Eatscape,"Verdant Ridge Eatscape is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Verdant Ridge Eatscape, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 08:30-17:30, entry 43.59 USD.",43.59,08:30-17:30,3 hours,3.7,"600 Shinkawa Street, Beirut",33.901924008797906,35.53570150619231,"['with pets', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
8,Beirut,Lebanon,Nature/Scenery/Park,Mount Lebanon Skyline Express + Cedar Valley Cable Car Tour,"Mount Lebanon Skyline Express + Cedar Valley Cable Car Tour is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Mount Lebanon Skyline Express + Cedar Valley Cable Car Tour, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 08:30-17:00, entry 5.6 USD.",5.6,08:30-17:00,3 hours,3.7,"481 Seongsan-ro, Beirut",33.88687692103194,35.52889206218093,"['nightlife enthusiast', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
9,Beirut,Lebanon,Nature/Scenery/Park,Harbor Skywalk,"Harbor Skywalk is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Harbor Skywalk, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 08:30-17:30, entry 2.8 USD.",2.8,08:30-17:30,3 hours,3.7,"252 Sathorn Road, Beirut",33.89546297753427,35.525894276659535,['photography'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations']"
10,Beirut,Lebanon,Nature/Scenery/Park,Green Haven Explorers,"Green Haven Explorers is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Green Haven Explorers, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 09:30-17:00, entry 14.4 USD.",14.4,09:30-17:00,3 hours,3.7,"572 Suthep Road, Beirut",33.86970173559183,35.50492962894134,"['nightlife enthusiast', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
11,Beirut,Lebanon,Nature/Scenery/Park,Lebanese Coastal Delights Garden,"Lebanese Coastal Delights Garden is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Lebanese Coastal Delights Garden, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 08:00-20:00, entry 33.27 USD.",33.27,08:00-20:00,3 hours,3.7,"239-10, Gwanghwamun-daero, Yongsan-gu, Beirut",33.878287235805246,35.5023266521635,['luxury travelers'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events']"
12,Beirut,Lebanon,Nature/Scenery/Park,Lebanon Green Escape,"Lebanon Green Escape is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Lebanon Green Escape, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 08:30-17:00, entry 7.7 USD.",7.7,08:30-17:00,3 hours,3.7,"553 Bayshore Drive, Beirut",33.906624840429,35.50441438946334,"['fast-paced budget travel', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
13,Beirut,Lebanon,Nature/Scenery/Park,Mount Lebanon Thermal Retreat,"Mount Lebanon Thermal Retreat is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Mount Lebanon Thermal Retreat, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 08:30-17:30, entry 9.8 USD.",9.8,08:30-17:30,3 hours,3.7,"No. 456, Ocean View Road, Beirut",33.894895691567896,35.52450509336063,"['photography', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
14,Beirut,Lebanon,Nature/Scenery/Park,Sunspire Grove,"Sunspire Grove is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Sunspire Grove, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 09:00-18:00, entry 5.15 USD.",5.15,09:00-18:00,3 hours,3.7,"241 Sakura Street, Beirut",33.86552336671044,35.50624935843632,"['nightlife enthusiast', 'with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
15,Beirut,Lebanon,Nature/Scenery/Park,Mount Lebanon Green Haven No.2,"Mount Lebanon Green Haven is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Mount Lebanon Green Haven, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 08:00-20:00, entry 22.61 USD.",22.61,08:00-20:00,3 hours,3.7,"311/19 Sukhumvit Road, Beirut",33.89189698277944,35.51494473822005,"['solo women', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
16,Beirut,Lebanon,Nature/Scenery/Park,Marble Bay Skyway,"Marble Bay Skyway is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Marble Bay Skyway, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 09:00-17:00, entry 13.95 USD.",13.95,09:00-17:00,3 hours,3.7,"959-12-8 Shibuya, Shibuya City, Beirut",33.90458652283024,35.53542004299007,"['fast-paced budget travel', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas', 'parking']"
17,Beirut,Lebanon,Nature/Scenery/Park,Mount Lebanon Green Haven No.3,"Mount Lebanon Green Haven is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Mount Lebanon Green Haven, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 09:00-21:00, entry 75.28 USD.",75.28,09:00-21:00,3 hours,3.7,"842/11 Phra Sumen Road, Samran Riverside, Beirut",33.89075383257469,35.523706232712016,"['fast-paced budget travel', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
18,Beirut,Lebanon,Nature/Scenery/Park,Lebanon Heritage Oasis,"Lebanon Heritage Oasis is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Lebanon Heritage Oasis, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 09:00-17:30, entry 6.72 USD.",6.72,09:00-17:30,3 hours,3.7,"146 Shimbashi Street, Beirut",33.87068709341144,35.51108974212298,"['with children', 'solo women', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events']"
19,Beirut,Lebanon,Nature/Scenery/Park,Mount Lebanon Skyline Garden & Cedar Express Tour,"Mount Lebanon Skyline Garden & Cedar Express Tour is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Mount Lebanon Skyline Garden & Cedar Express Tour, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 09:00-18:00, entry 116.65 USD.",116.65,09:00-18:00,3 hours,3.7,"943 Seongsan-ro, Beirut",33.90609043307596,35.53554131498392,"['nightlife enthusiast', 'with children', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences']"
20,Beirut,Lebanon,Nature/Scenery/Park,Azure Cove,"Azure Cove is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Azure Cove, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 08:30-17:00, entry 11.76 USD.",11.76,08:30-17:00,3 hours,3.7,"No. 456, Cultural Street, Beirut",33.88264070841252,35.49374327160137,"['foodie', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
21,Beirut,Lebanon,Nature/Scenery/Park,Crimson Ridge,"Crimson Ridge is a nature in Beirut, Lebanon, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Crimson Ridge, a peaceful nature in Beirut, Lebanon, ideal for nature lovers. Open 08:30-17:30, entry 4.12 USD.",4.12,08:30-17:30,3 hours,3.7,"587 Seocho-ro, Suyeong-gu, Beirut",33.88763459452126,35.515253700842685,"['with pets', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas', 'parking']"
