attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Sofia,Bulgaria,Nature/Scenery/Park,Velika River Glade,"Velika River Glade is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Velika River Glade, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 08:00-22:00, entry 2.8 USD.",2.8,08:00-22:00,3 hours,3.7,"No. 456, Cultural Arts Avenue, Jinjiang District, Sofia",42.74593158322939,23.28781044350489,"['fast-paced budget travel', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
2,Sofia,Bulgaria,Nature/Scenery/Park,Greenway Forest Adventure,"Greenway Forest Adventure is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Greenway Forest Adventure, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 08:00-20:00, entry 5.6 USD.",5.6,08:00-20:00,3 hours,3.7,"683 Saphan Lee Road, Sofia",42.62091490318735,23.292211109807337,"['fast-paced budget travel', 'couples trip', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Food markets', 'tasting tours']"
3,Sofia,Bulgaria,Nature/Scenery/Park,Velvet Glen Sanctuary,"Velvet Glen Sanctuary is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Velvet Glen Sanctuary, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 08:30-17:00, entry 11.76 USD.",11.76,08:30-17:00,3 hours,3.7,"660 Jurong Nature Reserve, Sofia",42.71598462856749,23.42740929272129,"['disabled traveler', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
4,Sofia,Bulgaria,Nature/Scenery/Park,Vitosha Trailside Haven,"Vitosha Trailside Haven is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Vitosha Trailside Haven, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 09:00-18:00, entry 12.32 USD.",12.32,09:00-18:00,3 hours,3.7,"No. 456, Xihu Road, Xihu District, Sofia",42.75590260632848,23.367606827585,['foodie'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours']"
5,Sofia,Bulgaria,Nature/Scenery/Park,Luminous Riverside Walk,"Luminous Riverside Walk is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Luminous Riverside Walk, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 09:00-17:30, entry 7.35 USD.",7.35,09:00-17:30,3 hours,3.7,"No. 456, Xingguang Road, Sofia",42.70263002063574,23.42056763509247,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
6,Sofia,Bulgaria,Nature/Scenery/Park,Velvet Ridge Sanctuary,"Velvet Ridge Sanctuary is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Velvet Ridge Sanctuary, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 09:00-17:00, entry 116.65 USD.",116.65,09:00-17:00,3 hours,3.7,"No. 88, Jimei Road, Sofia",42.70995256207242,23.397670457323507,"['photography', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Sofia,Bulgaria,Nature/Scenery/Park,Verdant Heights Culinary Escape,"Verdant Heights Culinary Escape is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Verdant Heights Culinary Escape, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 10:00-18:00, entry 33.27 USD.",33.27,10:00-18:00,3 hours,3.7,"449 Sakura Street, Sofia",42.69056143605589,23.223609728198625,"['photography', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
8,Sofia,Bulgaria,Nature/Scenery/Park,Vitosha Summit Explorer Pass,"Vitosha Summit Explorer Pass is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Vitosha Summit Explorer Pass, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 08:30-17:00, entry 2.0 USD.",2.0,08:30-17:00,3 hours,3.7,"542 Seogwipo Street, Sofia",42.783796311187125,23.504713080939137,"['with pets', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
9,Sofia,Bulgaria,Nature/Scenery/Park,Horizon Grove,"Horizon Grove is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Horizon Grove, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 09:00-18:00, entry 20.74 USD.",20.74,09:00-18:00,3 hours,3.7,"No. 456 Riverside Avenue, Sofia",42.84312099289669,23.608126977744217,"['with children', 'solo women', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
10,Sofia,Bulgaria,Nature/Scenery/Park,Green Haven Explorer Park,"Green Haven Explorer Park is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Green Haven Explorer Park, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 08:30-18:00, entry 6.72 USD.",6.72,08:30-18:00,3 hours,3.7,"158 West Riverside Road, Sofia",42.67248040385899,23.36374751461065,"['with children', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
11,Sofia,Bulgaria,Nature/Scenery/Park,Vitosha Bay Tidal Garden,"Vitosha Bay Tidal Garden is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Vitosha Bay Tidal Garden, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 19:00-23:00, entry 4.87 USD.",4.87,19:00-23:00,3 hours,3.7,"399 Seongsan-ro, Sofia",42.73256885289582,23.25462276131037,"['road trip', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
12,Sofia,Bulgaria,Nature/Scenery/Park,Sofia Verdant Escape,"Sofia Verdant Escape is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Sofia Verdant Escape, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 09:00-17:30, entry 6.17 USD.",6.17,09:00-17:30,3 hours,3.7,"408 Hibikino Street, Sofia",42.68534966178871,23.415013930156125,"['disabled traveler', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
13,Sofia,Bulgaria,Nature/Scenery/Park,Velvet Valley Thermal Haven,"Velvet Valley Thermal Haven is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Velvet Valley Thermal Haven, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 09:00-17:00, entry 1.4 USD.",1.4,09:00-17:00,3 hours,3.7,"No. 456, Huxi Road, Sofia",42.70694091488885,23.21999296392251,"['with children', 'with pets', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'parking']"
14,Sofia,Bulgaria,Nature/Scenery/Park,Luna Vista Greenway,"Luna Vista Greenway is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Luna Vista Greenway, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 08:00-19:00, entry 94.11 USD.",94.11,08:00-19:00,3 hours,3.7,"364 Kita-Ku Waterfront Promenade, Sofia",42.66297491096596,23.34733332794717,"['fast-paced budget travel', 'photography', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']"
15,Sofia,Bulgaria,Nature/Scenery/Park,Velvet Grove Sanctuary,"Velvet Grove Sanctuary is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Velvet Grove Sanctuary, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 08:00-20:00, entry 31.52 USD.",31.52,08:00-20:00,3 hours,3.7,"No. 456, West Lake Scenic Avenue, Sofia",42.72571047480009,23.248788776206013,"['with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
16,Sofia,Bulgaria,Nature/Scenery/Park,Vitosha Skyline Express,"Vitosha Skyline Express is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Vitosha Skyline Express, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 10:00-22:00, entry 14.98 USD.",14.98,10:00-22:00,3 hours,3.7,"625 Sakura Street, Shibuya, Sofia",42.75887275469971,23.30473434540849,"['with pets', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
17,Sofia,Bulgaria,Nature/Scenery/Park,Velvet Grove Sanctuary No.2,"Velvet Grove Sanctuary is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Velvet Grove Sanctuary, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 08:30-17:30, entry 75.28 USD.",75.28,08:30-17:30,3 hours,3.7,"409 Sakura Street, Naka Ward, Sofia",42.71224555941881,23.448530721546884,"['nightlife enthusiast', 'fast-paced budget travel', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'parking']"
18,Sofia,Bulgaria,Nature/Scenery/Park,Velika Grad Botanical Haven,"Velika Grad Botanical Haven is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Velika Grad Botanical Haven, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 09:00-19:00, entry 13.3 USD.",13.3,09:00-19:00,3 hours,3.7,"349 Sukhumvit Road, Sofia",42.69616945709792,23.21825800993419,"['with children', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas', 'parking']"
19,Sofia,Bulgaria,Nature/Scenery/Park,Veliko Tarnovo Green Path & Valley Express Tour,"Veliko Tarnovo Green Path & Valley Express Tour is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Veliko Tarnovo Green Path & Valley Express Tour, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 08:30-19:00, entry 10.5 USD.",10.5,08:30-19:00,3 hours,3.7,"820 Sakura Street, Naka Ward, Sofia",42.77655298622632,23.512594033977003,"['foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'parking']"
20,Sofia,Bulgaria,Nature/Scenery/Park,Azure Mirage Cove,"Azure Mirage Cove is a nature in Sofia, Bulgaria, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Azure Mirage Cove, a peaceful nature in Sofia, Bulgaria, ideal for nature lovers. Open 09:00-17:30, entry 12.93 USD.",12.93,09:00-17:30,3 hours,3.7,"538-876 Shibuya, Shibuya City, Sofia",42.74730541671775,23.32409404131118,"['fast-paced budget travel', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
