attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Memphis,United States,Nature/Scenery/Park,Delta Wildscape Preserve,"Delta Wildscape Preserve is a nature in Memphis, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Delta Wildscape Preserve, a peaceful nature in Memphis, United States, ideal for nature lovers. Open 18:00-21:00, entry 75.28 USD.",75.28,18:00-21:00,3 hours,3.7,"906 Jurong East Ave 6, Memphis",35.06199903971291,-90.11810301713965,"['fast-paced budget travel', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
2,Memphis,United States,Nature/Scenery/Park,Delta Wildscape Adventure Trail,"Delta Wildscape Adventure Trail is a nature in Memphis, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Delta Wildscape Adventure Trail, a peaceful nature in Memphis, United States, ideal for nature lovers. Open 08:30-17:00, entry 4.36 USD.",4.36,08:30-17:00,3 hours,3.7,"360 Seaside Promenade, Memphis",35.13134602281315,-90.02404492983763,"['nightlife enthusiast', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
3,Memphis,United States,Nature/Scenery/Park,Crimson Bluff Sanctuary,"Crimson Bluff Sanctuary is a nature in Memphis, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Crimson Bluff Sanctuary, a peaceful nature in Memphis, United States, ideal for nature lovers. Open 09:00-17:30, entry 12.53 USD.",12.53,09:00-17:30,3 hours,3.7,"No. 456, Zhongshan Road, Memphis",35.15633216856068,-89.9806074485358,"['solo women', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'parking']"
4,Memphis,United States,Nature/Scenery/Park,Sunflower Ridge Trail,"Sunflower Ridge Trail is a nature in Memphis, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Sunflower Ridge Trail, a peaceful nature in Memphis, United States, ideal for nature lovers. Open 08:30-17:00, entry 11.76 USD.",11.76,08:30-17:00,3 hours,3.7,"211 Pasir Ris Avenue, Memphis",35.22930590297316,-89.93359758668755,"['fast-paced budget travel', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas']"
5,Memphis,United States,Nature/Scenery/Park,Riverlight Serenade,"Riverlight Serenade is a nature in Memphis, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Riverlight Serenade, a peaceful nature in Memphis, United States, ideal for nature lovers. Open 08:30-17:30, entry 94.11 USD.",94.11,08:30-17:30,3 hours,3.7,"321 Victoria Harbour Road, Memphis",35.22346414642993,-89.97151289601268,"['solo women', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'parking']"
6,Memphis,United States,Nature/Scenery/Park,Echo Hollow Preserve,"Echo Hollow Preserve is a nature in Memphis, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Echo Hollow Preserve, a peaceful nature in Memphis, United States, ideal for nature lovers. Open 08:30-17:30, entry 7.7 USD.",7.7,08:30-17:30,3 hours,3.7,"No. 12, West Chang'an Avenue, Memphis",35.19643097430642,-90.0641499466186,"['with children', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
7,Memphis,United States,Nature/Scenery/Park,Evergreen Ridge Culinary Haven,"Evergreen Ridge Culinary Haven is a nature in Memphis, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Evergreen Ridge Culinary Haven, a peaceful nature in Memphis, United States, ideal for nature lovers. Open 09:00-17:30, entry 294.64 USD.",294.64,09:00-17:30,3 hours,3.7,"No. 456 Green Valley Road, Memphis",35.14487824839221,-89.76967786518645,['fast-paced budget travel'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours']"
8,Memphis,United States,Nature/Scenery/Park,Sunflower Ridge Adventure Pass,"Sunflower Ridge Adventure Pass is a nature in Memphis, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Sunflower Ridge Adventure Pass, a peaceful nature in Memphis, United States, ideal for nature lovers. Open 08:30-18:00, entry 6.17 USD.",6.17,08:30-18:00,3 hours,3.7,"738 Rama IV Road, Memphis",35.19608542384167,-89.77191603599607,"['with children', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
9,Memphis,United States,Nature/Scenery/Park,Riverside Haven,"Riverside Haven is a nature in Memphis, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Riverside Haven, a peaceful nature in Memphis, United States, ideal for nature lovers. Open 09:30-17:00, entry 4.87 USD.",4.87,09:30-17:00,3 hours,3.7,"834-11-12 Shibuya, Shibuya City, Memphis",35.00193091633231,-90.00021717103057,"['with children', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
10,Memphis,United States,Nature/Scenery/Park,Windy Ridge Discovery Grounds,"Windy Ridge Discovery Grounds is a nature in Memphis, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Windy Ridge Discovery Grounds, a peaceful nature in Memphis, United States, ideal for nature lovers. Open 08:30-17:00, entry 2059.2 USD.",2059.2,08:30-17:00,3 hours,3.7,"977 Marina Bay Sands, Memphis",35.13548450881524,-89.82295978951467,"['fast-paced budget travel', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
11,Memphis,United States,Nature/Scenery/Park,Sunset Bayou Breeze,"Sunset Bayou Breeze is a nature in Memphis, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Sunset Bayou Breeze, a peaceful nature in Memphis, United States, ideal for nature lovers. Open 09:00-17:30, entry 26.32 USD.",26.32,09:00-17:30,3 hours,3.7,"761 Shimbashi Street, Shinjuku Ward, Memphis",35.014941966130664,-90.16648758643149,"['with children', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'parking']"
