attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Hong Kong,Hong Kong Dreamland,"156 Fantasy Avenue, Causeway Bay",114.120477,22.174898,09:00-22:00,11.06,"Hong Kong Dreamland is a theme park in Hong Kong, Hong Kong, popular for its memorable experiences. Entry fee is 11.06 USD. Recommended visit: 6 hours. Discover Hong Kong Dreamland, a notable theme park in Hong Kong, Hong Kong, ideal for visitors. Open 09:00-22:00, entry 11.06 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows']",Theme Park/Amusement Park,6 hours,3.75,"['Pet Owners', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'Solo Woman Travelers', 'Luxury Travelers', 'foodie']",Hong Kong
2,Hong Kong,Lantau Island Viewpoint,"156 Victoria Harbour Road, Wan Chai",114.373646,22.266658,08:00-20:00,6.02,"Lantau Island Viewpoint is a nature in Hong Kong, Hong Kong, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.02 USD. Recommended visit: 3 hours. Discover Lantau Island Viewpoint, a peaceful nature in Hong Kong, Hong Kong, ideal for nature lovers. Open 08:00-20:00, entry 6.02 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Nightlife Enthusiast', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'foodie', 'Photography']",Hong Kong
3,Hong Kong,Hong Kong Ocean Adventure Park,"128 Hong Kong Park, Central",113.986128,22.36265,09:00-21:00,32.2,"Hong Kong Ocean Adventure Park is a theme park in Hong Kong, Hong Kong, popular for its memorable experiences. Entry fee is 32.2 USD. Recommended visit: 7 hours. Discover Hong Kong Ocean Adventure Park, a notable theme park in Hong Kong, Hong Kong, ideal for visitors. Open 09:00-21:00, entry 32.2 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'family restrooms', 'nursing facilities', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']",Theme Park/Amusement Park,7 hours,3.75,"['Family with children', 'Road trip', 'Pet Owners', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'Luxury Travelers']",Hong Kong
4,Hong Kong,Peak Summit Viewpoint,"158 Nathan Road, Kowloon",114.317114,22.465553,08:00-20:00,4.06,"Peak Summit Viewpoint is a nature in Hong Kong, Hong Kong, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.06 USD. Recommended visit: 3 hours. Discover Peak Summit Viewpoint, a peaceful nature in Hong Kong, Hong Kong, ideal for nature lovers. Open 08:00-20:00, entry 4.06 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Elderly Travelers', 'Pet Owners', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'foodie']",Hong Kong
5,Hong Kong,Peak Ropeway Viewpoint,"127 Victoria Peak Road, Hong Kong Island",113.845225,22.490793,08:30-18:00,13.58,"Peak Ropeway Viewpoint is a nature in Hong Kong, Hong Kong, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.58 USD. Recommended visit: 3 hours. Discover Peak Ropeway Viewpoint, a peaceful nature in Hong Kong, Hong Kong, ideal for nature lovers. Open 08:30-18:00, entry 13.58 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Elderly Travelers', 'Nightlife Enthusiast', 'Disabled Travelers', 'couples trip', 'foodie']",Hong Kong
6,Hong Kong,Kowloon Heights Viewpoint,"156 Queen's Road Central, Hong Kong Island",114.313437,22.467858,08:00-20:00,7.7,"Kowloon Heights Viewpoint is a nature in Hong Kong, Hong Kong, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Kowloon Heights Viewpoint, a peaceful nature in Hong Kong, Hong Kong, ideal for nature lovers. Open 08:00-20:00, entry 7.7 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'parking', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Road trip', 'Elderly Travelers', 'Fast-Paced Budget Travel', 'couples trip']",Hong Kong
7,Hong Kong,Hong Kong Palace Cultural Center,"125 Queen's Road Central, Central",114.274644,22.344669,10:00-18:00,0.0,"Hong Kong Palace Cultural Center is a museum in Hong Kong, Hong Kong, popular for its unique collections and exhibitions. Entry fee is 0.0 USD. Recommended visit: 2 hours. Discover Hong Kong Palace Cultural Center, a renowned museum in Hong Kong, Hong Kong, ideal for art lovers. Open 10:00-18:00, entry 0.0 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Museum/Art Gallery,2 hours,4.0,"['Elderly Travelers', 'Fast-Paced Budget Travel', 'couples trip', 'Solo Woman Travelers', 'Luxury Travelers', 'Photography']",Hong Kong
8,Hong Kong,Hong Kong Jay Chou Music Festival 2025,"158 Nathan Road, Tsim Sha Tsui",114.244959,22.177538,10:00-22:00,35.0,"Hong Kong Jay Chou Music Festival 2025 is a theme park in Hong Kong, Hong Kong, popular for its memorable experiences. Entry fee is 35.0 USD. Recommended visit: 8 hours. Discover Hong Kong Jay Chou Music Festival 2025, a notable theme park in Hong Kong, Hong Kong, ideal for visitors. Open 10:00-22:00, entry 35.0 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'group tours', 'security', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']",Theme Park/Amusement Park,8 hours,3.75,"['Road trip', 'Pet Owners', 'Nightlife Enthusiast', 'Disabled Travelers', 'Solo Woman Travelers', 'foodie']",Hong Kong
9,Hong Kong,Am Ping Skyline,"158 Tai Tam Road, Tai Tam",114.247682,22.330239,08:30-17:30,7.0,"Am Ping Skyline is a nature in Hong Kong, Hong Kong, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.0 USD. Recommended visit: 3 hours. Discover Am Ping Skyline, a peaceful nature in Hong Kong, Hong Kong, ideal for nature lovers. Open 08:30-17:30, entry 7.0 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'food markets', 'tasting tours', 'family restrooms', 'nursing facilities', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Elderly Travelers', 'Fast-Paced Budget Travel', 'Solo Woman Travelers', 'Luxury Travelers', 'foodie']",Hong Kong
10,Hong Kong,Central Hub,"156 Queen's Road Central, Hong Kong",113.868074,22.346523,09:00-21:00,27.86,"Central Hub is a historic site in Hong Kong, Hong Kong, popular for its memorable experiences. Entry fee is 27.86 USD. Recommended visit: 2 hours. Discover Central Hub, a notable historic site in Hong Kong, Hong Kong, ideal for visitors. Open 09:00-21:00, entry 27.86 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'family restrooms', 'nursing facilities', 'parking', 'high speed WiFi']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Road trip', 'Pet Owners', 'Solo Woman Travelers', 'Luxury Travelers']",Hong Kong
