attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Cozumel,Mexico,Nature/Scenery/Park,Coral Cove Reserve,"Coral Cove Reserve is a nature in Cozumel, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Coral Cove Reserve, a peaceful nature in Cozumel, Mexico, ideal for nature lovers. Open 10:00-22:00, entry 4.36 USD.",4.36,10:00-22:00,3 hours,3.7,"No. 456 Green Valley Road, Cozumel",20.50021487929072,-86.94155827047987,"['photography', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
2,Cozumel,Mexico,Nature/Scenery/Park,Coral Bay Wildscape Trek,"Coral Bay Wildscape Trek is a nature in Cozumel, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Coral Bay Wildscape Trek, a peaceful nature in Cozumel, Mexico, ideal for nature lovers. Open 09:00-18:00, entry 6.72 USD.",6.72,09:00-18:00,3 hours,3.7,"533 Sathorn Road, Cozumel",20.53544759505984,-86.91830632028646,"['fast-paced budget travel', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
3,Cozumel,Mexico,Nature/Scenery/Park,Coral Veil Sanctuary,"Coral Veil Sanctuary is a nature in Cozumel, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Coral Veil Sanctuary, a peaceful nature in Cozumel, Mexico, ideal for nature lovers. Open 08:30-18:00, entry 4.12 USD.",4.12,08:30-18:00,3 hours,3.7,"No. 58, Xishan Road, Cozumel",20.489434442905747,-86.92645990221271,"['nightlife enthusiast', 'with children', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events']"
4,Cozumel,Mexico,Nature/Scenery/Park,Coral Bay Adventure Trail,"Coral Bay Adventure Trail is a nature in Cozumel, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Coral Bay Adventure Trail, a peaceful nature in Cozumel, Mexico, ideal for nature lovers. Open 09:00-18:00, entry 12.32 USD.",12.32,09:00-18:00,3 hours,3.7,"No. 88 West Lake Cultural Street, Cozumel",20.496667379899165,-86.94312955420015,"['fast-paced budget travel', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
5,Cozumel,Mexico,Nature/Scenery/Park,Lagoon Moonlight Sail,"Lagoon Moonlight Sail is a nature in Cozumel, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Lagoon Moonlight Sail, a peaceful nature in Cozumel, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 55.55 USD.",55.55,08:30-17:00,3 hours,3.7,"412 Sathorn Road, Wat Arun District, Cozumel",20.443372142441085,-86.97880575899993,"['solo women', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
6,Cozumel,Mexico,Nature/Scenery/Park,Coral Peak Vista,"Coral Peak Vista is a nature in Cozumel, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Coral Peak Vista, a peaceful nature in Cozumel, Mexico, ideal for nature lovers. Open 09:00-21:00, entry 43.59 USD.",43.59,09:00-21:00,3 hours,3.7,"No. 128, Guanglong Road, Cozumel",20.447821346421893,-86.98051491639058,"['with pets', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
7,Cozumel,Mexico,Nature/Scenery/Park,Tropical Vista Sanctuary,"Tropical Vista Sanctuary is a nature in Cozumel, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Tropical Vista Sanctuary, a peaceful nature in Cozumel, Mexico, ideal for nature lovers. Open 08:00-17:30, entry 2059.2 USD.",2059.2,08:00-17:30,3 hours,3.7,"379 Gwanghwamun Street, Jongno-gu, Cozumel",20.50947570722151,-86.94025628703207,"['with children', 'solo women', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'parking']"
8,Cozumel,Mexico,Nature/Scenery/Park,Coral Cove Adventure Pass + Skyline Ridge Cable Car + Sunken Bay Snorkeling,"Coral Cove Adventure Pass + Skyline Ridge Cable Car + Sunken Bay Snorkeling is a nature in Cozumel, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Coral Cove Adventure Pass + Skyline Ridge Cable Car + Sunken Bay Snorkeling, a peaceful nature in Cozumel, Mexico, ideal for nature lovers. Open 09:00-19:00, entry 1.4 USD.",1.4,09:00-19:00,3 hours,3.7,"622 Harajuku Street, Shinjuku, Cozumel",20.48849408969112,-86.94696415984605,"['with pets', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
9,Cozumel,Mexico,Nature/Scenery/Park,Tropical Vista Haven,"Tropical Vista Haven is a nature in Cozumel, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Tropical Vista Haven, a peaceful nature in Cozumel, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 7.57 USD.",7.57,08:30-17:00,3 hours,3.7,"683 Seaside Promenade, Cozumel",20.51516503002997,-86.93707816565225,"['nightlife enthusiast', 'fast-paced budget travel', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours']"
10,Cozumel,Mexico,Nature/Scenery/Park,Tideplay Oasis,"Tideplay Oasis is a nature in Cozumel, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Tideplay Oasis, a peaceful nature in Cozumel, Mexico, ideal for nature lovers. Open 08:00-22:00, entry 24.24 USD.",24.24,08:00-22:00,3 hours,3.7,"No. 48, Taiping Road, Cozumel",20.489481287254403,-86.92571223256502,"['fast-paced budget travel', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
11,Cozumel,Mexico,Nature/Scenery/Park,Coral Bay Tidal Feast,"Coral Bay Tidal Feast is a nature in Cozumel, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Coral Bay Tidal Feast, a peaceful nature in Cozumel, Mexico, ideal for nature lovers. Open 08:30-17:30, entry 94.11 USD.",94.11,08:30-17:30,3 hours,3.7,"913-8901 Shuri-cho, Cozumel",20.51545578984032,-86.93818891018282,"['photography', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
