attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Baghdad,Iraq,Nature/Scenery/Park,Tigris Green Haven,"Tigris Green Haven is a nature in Baghdad, Iraq, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Tigris Green Haven, a peaceful nature in Baghdad, Iraq, ideal for nature lovers. Open 09:30-17:00, entry 7.7 USD.",7.7,09:30-17:00,3 hours,3.7,"119 Seaside Promenade, Baghdad",33.412715702763485,44.555828895818,"['fast-paced budget travel', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
2,Baghdad,Iraq,Nature/Scenery/Park,Tigris Riverside Greenway,"Tigris Riverside Greenway is a nature in Baghdad, Iraq, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Tigris Riverside Greenway, a peaceful nature in Baghdad, Iraq, ideal for nature lovers. Open 09:00-19:00, entry 29.53 USD.",29.53,09:00-19:00,3 hours,3.7,"156A Tai Tam Road, Tai Tam, Baghdad",33.333487092577386,44.3611580651435,"['solo women', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
3,Baghdad,Iraq,Nature/Scenery/Park,Tigris Grove Sanctuary,"Tigris Grove Sanctuary is a nature in Baghdad, Iraq, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Tigris Grove Sanctuary, a peaceful nature in Baghdad, Iraq, ideal for nature lovers. Open 09:00-18:00, entry 11.05 USD.",11.05,09:00-18:00,3 hours,3.7,"768 Seogwipo Street, Baghdad",33.233484904500884,44.48226423343332,"['with children', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
4,Baghdad,Iraq,Nature/Scenery/Park,Tigris Riverside Sanctuary,"Tigris Riverside Sanctuary is a nature in Baghdad, Iraq, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Tigris Riverside Sanctuary, a peaceful nature in Baghdad, Iraq, ideal for nature lovers. Open 08:00-18:00, entry 116.65 USD.",116.65,08:00-18:00,3 hours,3.7,"No. 456, Cultural Street, Baghdad",33.23081391768108,44.28101748221422,"['photography', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Baghdad,Iraq,Nature/Scenery/Park,Tigris Twilight Walk,"Tigris Twilight Walk is a nature in Baghdad, Iraq, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Tigris Twilight Walk, a peaceful nature in Baghdad, Iraq, ideal for nature lovers. Open 08:30-17:00, entry 37.95 USD.",37.95,08:30-17:00,3 hours,3.7,"814 Sathorn Road, Wat Phra Singh, Baghdad",33.45581051041044,44.28081869476726,"['with children', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'High speed WiFi']"
6,Baghdad,Iraq,Nature/Scenery/Park,Euphrates Ridge Sanctuary,"Euphrates Ridge Sanctuary is a nature in Baghdad, Iraq, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Euphrates Ridge Sanctuary, a peaceful nature in Baghdad, Iraq, ideal for nature lovers. Open 08:30-17:00, entry 43.59 USD.",43.59,08:30-17:00,3 hours,3.7,"256 Garden Road, Baghdad",33.397404779963466,44.466889979447146,"['photography', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Baghdad,Iraq,Nature/Scenery/Park,Euphrates Vista Retreat,"Euphrates Vista Retreat is a nature in Baghdad, Iraq, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Euphrates Vista Retreat, a peaceful nature in Baghdad, Iraq, ideal for nature lovers. Open 08:30-17:00, entry 19.18 USD.",19.18,08:30-17:00,3 hours,3.7,"937-456 Shibuya-dori, Shibuya City, Baghdad",33.44609805725361,44.36389205074435,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
8,Baghdad,Iraq,Nature/Scenery/Park,Euphrates Riverside Scenic Loop,"Euphrates Riverside Scenic Loop is a nature in Baghdad, Iraq, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Euphrates Riverside Scenic Loop, a peaceful nature in Baghdad, Iraq, ideal for nature lovers. Open 10:00-22:00, entry 75.28 USD.",75.28,10:00-22:00,3 hours,3.7,"No. 1, Zhongnanhai Road, Baghdad",33.41794621143592,44.26298630334697,"['with pets', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
9,Baghdad,Iraq,Nature/Scenery/Park,Euphrates Vista,"Euphrates Vista is a nature in Baghdad, Iraq, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Euphrates Vista, a peaceful nature in Baghdad, Iraq, ideal for nature lovers. Open 09:00-17:30, entry 2.0 USD.",2.0,09:00-17:30,3 hours,3.7,"579 Seocho-ro, Geumjeong-gu, Baghdad",33.23010352733388,44.4174726071162,"['with children', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas', 'parking']"
10,Baghdad,Iraq,Nature/Scenery/Park,Tigris Treetop Explorers,"Tigris Treetop Explorers is a nature in Baghdad, Iraq, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Tigris Treetop Explorers, a peaceful nature in Baghdad, Iraq, ideal for nature lovers. Open 06:00-20:00, entry 5.6 USD.",5.6,06:00-20:00,3 hours,3.7,"746 Chinatown Complex, Baghdad",33.31850783529878,44.36744180350407,"['fast-paced budget travel', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
