attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Fortaleza,Brazil,Nature/Scenery/Park,Lagoa dos Sonhos Nature Reserve,"Lagoa dos Sonhos Nature Reserve is a nature in Fortaleza, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Lagoa dos Sonhos Nature Reserve, a peaceful nature in Fortaleza, Brazil, ideal for nature lovers. Open 08:00-20:00, entry 13.3 USD.",13.3,08:00-20:00,3 hours,3.7,"865 Nihonbashi 1-chome, Chuo City, Fortaleza",-3.801415018796547,-38.45036286773944,"['with pets', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Fortaleza,Brazil,Nature/Scenery/Park,Verde Vale EcoTrail,"Verde Vale EcoTrail is a nature in Fortaleza, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Verde Vale EcoTrail, a peaceful nature in Fortaleza, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 43.59 USD.",43.59,09:00-17:30,3 hours,3.7,"No. 333 Tianhe Road, Fortaleza",-3.757970231967991,-38.61073728929036,"['elderly travelers', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,Fortaleza,Brazil,Nature/Scenery/Park,Serra Verde Sanctuary,"Serra Verde Sanctuary is a nature in Fortaleza, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Serra Verde Sanctuary, a peaceful nature in Fortaleza, Brazil, ideal for nature lovers. Open 08:30-17:00, entry 11.76 USD.",11.76,08:30-17:00,3 hours,3.7,"268 Shuri Street, Fortaleza",-3.812991060456515,-38.491048669537456,"['with pets', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas', 'parking']"
4,Fortaleza,Brazil,Nature/Scenery/Park,Lagoa Verde Adventure Trail,"Lagoa Verde Adventure Trail is a nature in Fortaleza, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Lagoa Verde Adventure Trail, a peaceful nature in Fortaleza, Brazil, ideal for nature lovers. Open 06:00-20:00, entry 1.4 USD.",1.4,06:00-20:00,3 hours,3.7,"661 Shinsaibashi Street, Chuo Ward, Fortaleza",-3.7960199978650335,-38.62920162204496,"['nightlife enthusiast', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
5,Fortaleza,Brazil,Nature/Scenery/Park,Lagoon Moonlight Voyage,"Lagoon Moonlight Voyage is a nature in Fortaleza, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Lagoon Moonlight Voyage, a peaceful nature in Fortaleza, Brazil, ideal for nature lovers. Open 09:00-21:00, entry 75.28 USD.",75.28,09:00-21:00,3 hours,3.7,"617-8745 Shibuya, Fortaleza",-3.785643590971176,-38.62764246630735,"['fast-paced budget travel', 'with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
6,Fortaleza,Brazil,Nature/Scenery/Park,Canyon Vista Reserve,"Canyon Vista Reserve is a nature in Fortaleza, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Canyon Vista Reserve, a peaceful nature in Fortaleza, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 11.05 USD.",11.05,09:00-17:30,3 hours,3.7,"No. 128, Mudanyu Village, Fortaleza",-3.835207843691417,-38.54374932800316,"['with children', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
7,Fortaleza,Brazil,Nature/Scenery/Park,Canyon Vista Culinary Haven,"Canyon Vista Culinary Haven is a nature in Fortaleza, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Canyon Vista Culinary Haven, a peaceful nature in Fortaleza, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 12.32 USD.",12.32,09:00-17:30,3 hours,3.7,"858 Naha Main Street, Fortaleza",-3.769076584323577,-38.4849499121093,"['solo women', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
8,Fortaleza,Brazil,Nature/Scenery/Park,Lagoa do Ceia Adventure Pass,"Lagoa do Ceia Adventure Pass is a nature in Fortaleza, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Lagoa do Ceia Adventure Pass, a peaceful nature in Fortaleza, Brazil, ideal for nature lovers. Open 08:00-20:00, entry 7.35 USD.",7.35,08:00-20:00,3 hours,3.7,"156 Victoria Harbour Road, Fortaleza",-3.762732638354919,-38.492749420130416,"['foodie', 'photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
9,Fortaleza,Brazil,Nature/Scenery/Park,Azure Horizon Walk,"Azure Horizon Walk is a nature in Fortaleza, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Azure Horizon Walk, a peaceful nature in Fortaleza, Brazil, ideal for nature lovers. Open 08:30-17:00, entry 14.98 USD.",14.98,08:30-17:00,3 hours,3.7,"902 Sakura-dai, Nishi-ku, Fortaleza",-3.7907744149126046,-38.51400989098258,"['nightlife enthusiast', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
10,Fortaleza,Brazil,Nature/Scenery/Park,VerdeVista EcoPlayground,"VerdeVista EcoPlayground is a nature in Fortaleza, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover VerdeVista EcoPlayground, a peaceful nature in Fortaleza, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 19.18 USD.",19.18,09:00-17:30,3 hours,3.7,"656-889, Koura-machi, Fortaleza",-3.781294088303791,-38.5884744262486,"['with children', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
