attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,San José,Costa Rica,Nature/Scenery/Park,Cerro Verde Nature Reserve,"Cerro Verde Nature Reserve is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Cerro Verde Nature Reserve, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 09:00-17:30, entry 116.65 USD.",116.65,09:00-17:30,3 hours,3.7,"525 Shinsaibashi Street, San José",11.002592985204544,-85.13541742811113,['foodie'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours']"
2,San José,Costa Rica,Nature/Scenery/Park,Verdant Veil Trail,"Verdant Veil Trail is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Verdant Veil Trail, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 08:30-17:30, entry 33.27 USD.",33.27,08:30-17:30,3 hours,3.7,"No. 888, Xueyuan Road, San José",10.994144357807537,-85.1285548860776,"['with children', 'fast-paced budget travel', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security']"
3,San José,Costa Rica,Nature/Scenery/Park,Cielo Verde Sanctuary,"Cielo Verde Sanctuary is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Cielo Verde Sanctuary, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 08:30-17:30, entry 1.4 USD.",1.4,08:30-17:30,3 hours,3.7,"215-8 Shirokane 4-chome, San José",11.041673191539122,-85.1902192175263,"['photography', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'High speed WiFi']"
4,San José,Costa Rica,Nature/Scenery/Park,Cerro Verde Trails,"Cerro Verde Trails is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Cerro Verde Trails, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 10:00-22:00, entry 20.74 USD.",20.74,10:00-22:00,3 hours,3.7,"156A Tai Tam Road, Tai Tam, San José",10.96923941530398,-85.12391027102544,"['with children', 'fast-paced budget travel', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security']"
5,San José,Costa Rica,Nature/Scenery/Park,Moonlit River Journey,"Moonlit River Journey is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Moonlit River Journey, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 08:30-17:30, entry 10.5 USD.",10.5,08:30-17:30,3 hours,3.7,"319-456 Nishi 6-chome, San José",10.98018926448246,-85.24352106936566,"['photography', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'High speed WiFi']"
6,San José,Costa Rica,Nature/Scenery/Park,Cerro del Sol Vista,"Cerro del Sol Vista is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Cerro del Sol Vista, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 09:00-17:30, entry 14.4 USD.",14.4,09:00-17:30,3 hours,3.7,"781 Shinkansen Street, San José",10.98018154664961,-85.13207263381233,"['nightlife enthusiast', 'fast-paced budget travel', 'with children']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'family restrooms', 'Nursing facilities']"
7,San José,Costa Rica,Nature/Scenery/Park,Verde Vista Eco Haven,"Verde Vista Eco Haven is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Verde Vista Eco Haven, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 08:30-18:00, entry 12.53 USD.",12.53,08:30-18:00,3 hours,3.7,"906 Jurong East Ave 6, San José",10.905078344949509,-85.1103654754206,"['elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'parking']"
8,San José,Costa Rica,Nature/Scenery/Park,Volcán Arenal Skyline Express + Cerro Pital Cable Car Pass + La Fortuna Botanical Trail,"Volcán Arenal Skyline Express + Cerro Pital Cable Car Pass + La Fortuna Botanical Trail is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Volcán Arenal Skyline Express + Cerro Pital Cable Car Pass + La Fortuna Botanical Trail, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 08:00-20:00, entry 6.17 USD.",6.17,08:00-20:00,3 hours,3.7,"563 Suthep Road, San José",10.951822314164817,-85.19024809281161,"['solo women', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
9,San José,Costa Rica,Nature/Scenery/Park,Skyline Grove,"Skyline Grove is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Skyline Grove, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 09:00-17:30, entry 294.64 USD.",294.64,09:00-17:30,3 hours,3.7,"776 Shinjuku Innovation Street, Shinjuku, San José",10.886065566693114,-85.1543466631693,"['with children', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
10,San José,Costa Rica,Nature/Scenery/Park,Verdant Quest Playgrounds,"Verdant Quest Playgrounds is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Verdant Quest Playgrounds, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 08:30-17:30, entry 55.55 USD.",55.55,08:30-17:30,3 hours,3.7,"891 Chalong Beach Road, San José",11.019942826178216,-85.28463166065366,"['nightlife enthusiast', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'High speed WiFi']"
11,San José,Costa Rica,Nature/Scenery/Park,Coral Cove Delights,"Coral Cove Delights is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Coral Cove Delights, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 09:00-17:30, entry 17.5 USD.",17.5,09:00-17:30,3 hours,3.7,"363-1 Gukje-gil, Gukje-gu, San José",11.042990689472624,-85.19480551525909,"['foodie', 'disabled traveler', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'private tours', 'skip the line passes', 'VIP exclusive events']"
12,San José,Costa Rica,Nature/Scenery/Park,Verde Vida EcoTrail,"Verde Vida EcoTrail is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Verde Vida EcoTrail, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 09:00-17:00, entry 13.3 USD.",13.3,09:00-17:00,3 hours,3.7,"813-890 Nishi 1-chome, San José",10.946535160545574,-85.12773005142714,['elderly travelers'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas']"
13,San José,Costa Rica,Nature/Scenery/Park,Cerro del Sol Thermal Retreat,"Cerro del Sol Thermal Retreat is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Cerro del Sol Thermal Retreat, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 08:30-17:00, entry 31.52 USD.",31.52,08:30-17:00,3 hours,3.7,"781 Sukhumvit Road, Khlong Toei District, San José",10.866309471392167,-85.15374942009049,"['nightlife enthusiast', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'wheelchair rental', 'benches/rest areas']"
14,San José,Costa Rica,Nature/Scenery/Park,Lagoon Vista Reserve,"Lagoon Vista Reserve is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Lagoon Vista Reserve, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 08:30-17:00, entry 6.72 USD.",6.72,08:30-17:00,3 hours,3.7,"991 Charoenkrung Road, Samranjit, San José",10.867149413574284,-85.14176861710081,"['nightlife enthusiast', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
15,San José,Costa Rica,Nature/Scenery/Park,Pura Vida Green Sanctuary,"Pura Vida Green Sanctuary is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Pura Vida Green Sanctuary, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 08:30-17:00, entry 14.98 USD.",14.98,08:30-17:00,3 hours,3.7,"No. 567 Riverside Lane, San José",11.024766326375063,-85.1523566731518,"['with children', 'fast-paced budget travel', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'parking']"
16,San José,Costa Rica,Nature/Scenery/Park,Skyline Coastal Express,"Skyline Coastal Express is a nature in San José, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Skyline Coastal Express, a peaceful nature in San José, Costa Rica, ideal for nature lovers. Open 08:30-19:00, entry 26.32 USD.",26.32,08:30-19:00,3 hours,3.7,"684 Shinsaibashi Street, San José",10.877087396445717,-85.11464293518881,['photography'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations']"
