attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,São Paulo,Brazil,Nature/Scenery/Park,Serra Verde Eco Haven,"Serra Verde Eco Haven is a nature in São Paulo, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Serra Verde Eco Haven, a peaceful nature in São Paulo, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 11.76 USD.",11.76,09:00-17:30,3 hours,3.7,"505 Rachadaphiseikhan Road, São Paulo",-23.74160124832285,-46.791934240547256,"['fast-paced budget travel', 'with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
2,São Paulo,Brazil,Nature/Scenery/Park,Verde Valley Trek,"Verde Valley Trek is a nature in São Paulo, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Verde Valley Trek, a peaceful nature in São Paulo, Brazil, ideal for nature lovers. Open 08:30-17:30, entry 1.4 USD.",1.4,08:30-17:30,3 hours,3.7,"No. 456, Green Valley Road, São Paulo",-23.574371989471977,-46.65488036469366,"['nightlife enthusiast', 'with children', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours']"
3,São Paulo,Brazil,Nature/Scenery/Park,Cerro dos Sonhos Reserve,"Cerro dos Sonhos Reserve is a nature in São Paulo, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Cerro dos Sonhos Reserve, a peaceful nature in São Paulo, Brazil, ideal for nature lovers. Open 08:30-17:00, entry 4.36 USD.",4.36,08:30-17:00,3 hours,3.7,"590 Shuri Street, São Paulo",-23.709780222623014,-46.68400847936117,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
4,São Paulo,Brazil,Nature/Scenery/Park,Tietê Riverwalk Path,"Tietê Riverwalk Path is a nature in São Paulo, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Tietê Riverwalk Path, a peaceful nature in São Paulo, Brazil, ideal for nature lovers. Open 09:00-18:00, entry 29.53 USD.",29.53,09:00-18:00,3 hours,3.7,"667 Thaweewong Road, São Paulo",-23.93653597156369,-46.68435078698219,"['foodie', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
5,São Paulo,Brazil,Nature/Scenery/Park,Luz Verde Riverwalk,"Luz Verde Riverwalk is a nature in São Paulo, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Luz Verde Riverwalk, a peaceful nature in São Paulo, Brazil, ideal for nature lovers. Open 08:30-18:00, entry 22.61 USD.",22.61,08:30-18:00,3 hours,3.7,"916 Northern Promenade, São Paulo",-23.752731729882846,-46.65384373767466,"['with pets', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
6,São Paulo,Brazil,Nature/Scenery/Park,Cerro das Laranjeiras Vista,"Cerro das Laranjeiras Vista is a nature in São Paulo, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Cerro das Laranjeiras Vista, a peaceful nature in São Paulo, Brazil, ideal for nature lovers. Open 09:00-18:00, entry 4.87 USD.",4.87,09:00-18:00,3 hours,3.7,"895 Bukit Timah Road, São Paulo",-23.60372631435824,-46.71589088999743,"['with children', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations']"
7,São Paulo,Brazil,Nature/Scenery/Park,Verde Peak Culinary Escapes,"Verde Peak Culinary Escapes is a nature in São Paulo, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Verde Peak Culinary Escapes, a peaceful nature in São Paulo, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 51.08 USD.",51.08,09:00-17:30,3 hours,3.7,"633 Seogwipo Street, São Paulo",-23.805433157038248,-46.77531007227576,"['with pets', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,São Paulo,Brazil,Nature/Scenery/Park,Serra dos Orgulhos Pass + Cidade Alta Cable Car + Jardim das Laranjeiras,"Serra dos Orgulhos Pass + Cidade Alta Cable Car + Jardim das Laranjeiras is a nature in São Paulo, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Serra dos Orgulhos Pass + Cidade Alta Cable Car + Jardim das Laranjeiras, a peaceful nature in São Paulo, Brazil, ideal for nature lovers. Open 08:00-20:00, entry 13.3 USD.",13.3,08:00-20:00,3 hours,3.7,"161-678 Nishi 1-chome, São Paulo",-23.434001514013005,-46.61140493308947,"['with children', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
9,São Paulo,Brazil,Nature/Scenery/Park,Skyline Grove,"Skyline Grove is a nature in São Paulo, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Skyline Grove, a peaceful nature in São Paulo, Brazil, ideal for nature lovers. Open 09:00-17:00, entry 4.12 USD.",4.12,09:00-17:00,3 hours,3.7,"433 Sakura Street, Naka Ward, São Paulo",-23.616132074930345,-46.64735286170705,"['solo women', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
10,São Paulo,Brazil,Nature/Scenery/Park,VerdeVista EcoPlay,"VerdeVista EcoPlay is a nature in São Paulo, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover VerdeVista EcoPlay, a peaceful nature in São Paulo, Brazil, ideal for nature lovers. Open 08:30-17:30, entry 8.65 USD.",8.65,08:30-17:30,3 hours,3.7,"499 Gwangnaru-ro, Gangnam-gu, São Paulo",-23.980850849175027,-46.73091941378257,"['solo women', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
