car_id,city_name,price_per_day,pickup_location,car_type,capacity,extra_services,extra_services_group
1,Zurich,53.33,Zürich Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'WiFi', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Women-only cars', 'Airport safe waiting areas']","['business travelers', 'luxury travelers', 'solo women']"
2,Zurich,46.31,Zürich Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Late pick up services', 'Pet seat belts', 'Pet-friendly']","['photography', 'nightlife enthusiast', 'with pets']"
3,Zurich,39.53,Zürich Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Child seats', 'Child locks', 'Women-only cars', 'Airport safe waiting areas']","['photography', 'with children', 'solo women']"
4,Zurich,49.11,Zürich Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Late pick up services', 'Pet seat belts', 'Pet-friendly', 'Advanced Driving Assistance Systems']","['nightlife enthusiast', 'with pets', 'elderly travelers']"
5,Zurich,44.03,Zürich Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Child seats', 'Child locks', 'Advanced Driving Assistance Systems']","['disabled traveler', 'with children', 'elderly travelers']"
6,Zurich,60.22,Zürich Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'WiFi', 'Women-only cars', 'Airport safe waiting areas']","['road trip', 'business travelers', 'solo women']"
7,Zurich,52.12,Zürich Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'WiFi', 'Women-only cars', 'Airport safe waiting areas']","['photography', 'business travelers', 'solo women']"
8,Zurich,60.51,Zürich Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Women-only cars', 'Airport safe waiting areas', 'Pet seat belts', 'Pet-friendly']","['road trip', 'solo women', 'with pets']"
9,Zurich,65.62,Zürich Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Child seats', 'Child locks', 'Advanced Driving Assistance Systems']","['luxury travelers', 'with children', 'elderly travelers']"
10,Zurich,100.28,Zürich Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'WiFi']","['photography', 'disabled traveler', 'business travelers']"
11,Zurich,97.57,Zürich Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Late pick up services', 'Pet seat belts', 'Pet-friendly']","['road trip', 'nightlife enthusiast', 'with pets']"
12,Zurich,79.65,Zürich Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'First-class car', 'Chauffeured cars', 'Guide/driver package']","['road trip', 'disabled traveler', 'luxury travelers']"
13,Zurich,113.29,Zürich Airport,Minivan,7,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Roadside emergency support']","['photography', 'luxury travelers', 'road trip']"
14,Zurich,100.13,Zürich Airport,Minivan,7,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Women-only cars', 'Airport safe waiting areas']","['road trip', 'luxury travelers', 'solo women']"
15,Zurich,133.64,Zürich Airport,Minivan,7,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Child seats', 'Child locks', 'WiFi']","['disabled traveler', 'with children', 'business travelers']"
16,Zurich,159.24,Zürich Airport,Luxury,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Child seats', 'Child locks', 'Pet seat belts', 'Pet-friendly', 'Advanced Driving Assistance Systems']","['with children', 'with pets', 'elderly travelers']"
17,Zurich,109.49,Zürich Airport,Luxury,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'WiFi', 'Pet seat belts', 'Pet-friendly']","['photography', 'business travelers', 'with pets']"
18,Zurich,141.46,Zürich Airport,Luxury,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Child seats', 'Child locks', 'Late pick up services']","['disabled traveler', 'with children', 'nightlife enthusiast']"
19,Zurich,159.18,Zürich Airport,Convertible,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Child seats', 'Child locks', 'Advanced Driving Assistance Systems']","['road trip', 'with children', 'elderly travelers']"
20,Zurich,154.65,Zürich Airport,Convertible,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Women-only cars', 'Airport safe waiting areas', 'Late pick up services']","['disabled traveler', 'solo women', 'nightlife enthusiast']"
21,Zurich,158.0,Zürich Airport,Convertible,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Women-only cars', 'Airport safe waiting areas', 'Late pick up services']","['disabled traveler', 'solo women', 'nightlife enthusiast']"
22,Zurich,90.97,Zürich Airport,EV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Child seats', 'Child locks', 'WiFi', 'Advanced Driving Assistance Systems']","['with children', 'business travelers', 'elderly travelers']"
23,Zurich,77.22,Zürich Airport,EV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'WiFi', 'Advanced Driving Assistance Systems']","['disabled traveler', 'business travelers', 'elderly travelers']"
24,Zurich,83.56,Zürich Airport,EV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Child seats', 'Child locks', 'Advanced Driving Assistance Systems']","['luxury travelers', 'with children', 'elderly travelers']"
25,Zurich,78.5,Zürich Airport,Wagon,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Women-only cars', 'Airport safe waiting areas']","['road trip', 'luxury travelers', 'solo women']"
26,Zurich,93.14,Zürich Airport,Wagon,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'WiFi']","['photography', 'luxury travelers', 'business travelers']"
27,Zurich,99.87,Zürich Airport,Wagon,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Late pick up services', 'Pet seat belts', 'Pet-friendly']","['photography', 'nightlife enthusiast', 'with pets']"
