attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Boston,United States,Nature/Scenery/Park,Harborwood Wildscape,"Harborwood Wildscape is a nature in Boston, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Harborwood Wildscape, a peaceful nature in Boston, United States, ideal for nature lovers. Open 09:00-17:00, entry 33.27 USD.",33.27,09:00-17:00,3 hours,3.7,"731 Sukhumvit Road, Khlong Toei District, Boston",42.333731298302254,-71.10085313050567,"['foodie', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences']"
2,Boston,United States,Nature/Scenery/Park,Harborwood Trail Discovery Loop,"Harborwood Trail Discovery Loop is a nature in Boston, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Harborwood Trail Discovery Loop, a peaceful nature in Boston, United States, ideal for nature lovers. Open 09:00-17:30, entry 5.15 USD.",5.15,09:00-17:30,3 hours,3.7,"866 Seokjang-ro, Ssangmundong-gu, Boston",42.2946201694165,-71.10687747191706,"['nightlife enthusiast', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
3,Boston,United States,Nature/Scenery/Park,Harborview Sanctuary,"Harborview Sanctuary is a nature in Boston, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Harborview Sanctuary, a peaceful nature in Boston, United States, ideal for nature lovers. Open 08:00-17:30, entry 43.59 USD.",43.59,08:00-17:30,3 hours,3.7,"No. 456, Green Valley Road, Boston",42.27673937229123,-71.11075205723338,['road trip'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking']"
4,Boston,United States,Nature/Scenery/Park,Harbor Edge Discovery Trail,"Harbor Edge Discovery Trail is a nature in Boston, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Harbor Edge Discovery Trail, a peaceful nature in Boston, United States, ideal for nature lovers. Open 09:00-18:00, entry 6.72 USD.",6.72,09:00-18:00,3 hours,3.7,"No. 456, Cultural Arts Avenue, Futian District, Boston",42.33793051692221,-71.16106689077031,['couples trip'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences']"
5,Boston,United States,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in Boston, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in Boston, United States, ideal for nature lovers. Open 09:00-18:00, entry 6.17 USD.",6.17,09:00-18:00,3 hours,3.7,"272/3 Sukhumvit Road, Khlong Toei, Boston",42.35061720165784,-71.01816880779823,"['elderly travelers', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
6,Boston,United States,Nature/Scenery/Park,Harborview Heights Preserve,"Harborview Heights Preserve is a nature in Boston, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Harborview Heights Preserve, a peaceful nature in Boston, United States, ideal for nature lovers. Open 08:30-17:00, entry 12.32 USD.",12.32,08:30-17:00,3 hours,3.7,"353 Jurong East Avenue 6, Boston",42.24955161756996,-71.113901756378,"['with children', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
7,Boston,United States,Nature/Scenery/Park,Greenwood Vista Culinary Trail,"Greenwood Vista Culinary Trail is a nature in Boston, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Greenwood Vista Culinary Trail, a peaceful nature in Boston, United States, ideal for nature lovers. Open 10:00-22:00, entry 4.36 USD.",4.36,10:00-22:00,3 hours,3.7,"540 Chalong Road, Boston",42.36838329667175,-71.03611366535849,"['with children', 'fast-paced budget travel', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas']"
8,Boston,United States,Nature/Scenery/Park,Cape Cod Coastal Express Pass + Nantucket Sound Ferry Round Trip + Harbor Light Observatory,"Cape Cod Coastal Express Pass + Nantucket Sound Ferry Round Trip + Harbor Light Observatory is a nature in Boston, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Cape Cod Coastal Express Pass + Nantucket Sound Ferry Round Trip + Harbor Light Observatory, a peaceful nature in Boston, United States, ideal for nature lovers. Open 06:00-20:00, entry 6.39 USD.",6.39,06:00-20:00,3 hours,3.7,"466 Seaside Promenade, Boston",42.28136340388335,-71.14548317893275,"['with pets', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours', 'parking']"
9,Boston,United States,Nature/Scenery/Park,Harbor Horizon Trail,"Harbor Horizon Trail is a nature in Boston, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Harbor Horizon Trail, a peaceful nature in Boston, United States, ideal for nature lovers. Open 09:00-21:00, entry 37.95 USD.",37.95,09:00-21:00,3 hours,3.7,"201 Seaside Promenade, Chuo-ku, Boston",42.25526527315542,-71.13754654200591,"['fast-paced budget travel', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
10,Boston,United States,Nature/Scenery/Park,Greenhaven Explorers' Grove,"Greenhaven Explorers' Grove is a nature in Boston, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Greenhaven Explorers' Grove, a peaceful nature in Boston, United States, ideal for nature lovers. Open 09:00-17:00, entry 15.4 USD.",15.4,09:00-17:00,3 hours,3.7,"No. 456, Zhongshan Road, Boston",42.28423017178298,-71.12016740173657,"['fast-paced budget travel', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'parking']"
