id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime
0,灵隐寺,历史古迹,30.246914,120.107833,06:30,17:45,0.0,0.5,1.5
1,杭州宋城,游乐园/体育娱乐,30.175794,120.105381,09:30,21:00,300.0,1.5,2.0
2,西湖风景名胜区,自然风光,30.228932,120.12792,00:00,24:00,0.0,1.0,2.0
3,西湖游船,自然风光,30.253883,120.155772,08:00,17:00,55.0,2.0,3.0
4,千岛湖景区,自然风光,29.593224,118.963964,00:00,24:00,185.0,1.0,2.5
5,西溪国家湿地公园,公园,30.27289,120.071528,07:30,18:30,70.0,0.5,1.0
6,灵隐飞来峰景区,文化旅游区,30.245216,120.108516,06:30,17:30,45.0,0.5,1.0
7,垂云通天河,游乐园/体育娱乐,29.931531,119.539381,08:00,18:30,100.0,2.0,2.5
8,OMG心跳乐园,游乐园/体育娱乐,29.931461,119.538763,08:00,18:30,100.0,2.0,3.0
9,雷峰塔,历史古迹,30.236901,120.155363,08:00,20:00,0.0,0.5,2.0
10,钱塘江,自然风光,30.135244,120.15319,00:00,24:00,0.0,2.0,3.0
11,钱塘江夜游,人文景观,30.216289,120.206476,09:00,19:20,85.0,0.5,1.0
12,千岛湖中心湖区,自然风光,29.600571,119.019626,00:00,24:00,185.0,2.5,4.0
13,岳王庙景区,历史古迹,30.258673,120.141115,07:30,17:30,25.0,1.0,1.5
14,杭州野生动物世界,游乐园/体育娱乐,30.16025,119.991307,09:30,16:30,210.0,2.5,3.0
15,京杭大运河杭州景区,文化旅游区,30.280038,120.168853,09:00,20:20,119.0,2.0,3.0
16,三潭印月,公园,30.244073,120.150685,08:00,17:00,55.0,1.0,2.5
17,杭州长乔极地海洋公园,游乐园/体育娱乐,30.148299,120.232994,09:00,17:00,360.0,2.0,3.0
18,杭州动物园,游乐园/体育娱乐,30.218839,120.139703,07:00,17:30,20.0,2.5,4.0
19,良渚古城遗址公园,历史古迹,30.386514,119.993671,09:00,17:00,55.0,1.5,2.0
20,清河坊街,商业街区,30.245629,120.175778,00:00,24:00,0.0,1.0,2.5
21,大奇山国家森林公园,公园,29.761747,119.73794,08:30,16:00,46.0,1.0,2.5
