car_id,city_name,price_per_day,pickup_location,car_type,capacity,extra_services,extra_services_group
1,Fort-de-France,42.69,Martinique Aimé Césaire International Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'WiFi', 'Advanced Driving Assistance Systems']","['luxury travelers', 'business travelers', 'elderly travelers']"
2,Fort-de-France,53.47,Martinique Aimé Césaire International Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Women-only cars', 'Airport safe waiting areas', 'Pet seat belts', 'Pet-friendly']","['luxury travelers', 'solo women', 'with pets']"
3,Fort-de-France,44.23,Martinique Aimé Césaire International Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Women-only cars', 'Airport safe waiting areas', 'Late pick up services']","['road trip', 'solo women', 'nightlife enthusiast']"
4,Fort-de-France,47.91,Martinique Aimé Césaire International Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'WiFi', 'Pet seat belts', 'Pet-friendly']","['road trip', 'business travelers', 'with pets']"
5,Fort-de-France,51.08,Martinique Aimé Césaire International Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Women-only cars', 'Airport safe waiting areas', 'Advanced Driving Assistance Systems']","['disabled traveler', 'solo women', 'elderly travelers']"
6,Fort-de-France,57.2,Martinique Aimé Césaire International Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'WiFi', 'Pet seat belts', 'Pet-friendly']","['photography', 'business travelers', 'with pets']"
7,Fort-de-France,62.77,Martinique Aimé Césaire International Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Child seats', 'Child locks', 'WiFi']","['luxury travelers', 'with children', 'business travelers']"
8,Fort-de-France,53.23,Martinique Aimé Césaire International Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'WiFi', 'Late pick up services']","['photography', 'business travelers', 'nightlife enthusiast']"
9,Fort-de-France,70.4,Martinique Aimé Césaire International Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Women-only cars', 'Airport safe waiting areas', 'Late pick up services']","['disabled traveler', 'solo women', 'nightlife enthusiast']"
10,Fort-de-France,104.49,Martinique Aimé Césaire International Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Late pick up services', 'Remote shoots']","['road trip', 'nightlife enthusiast', 'photography']"
11,Fort-de-France,99.84,Martinique Aimé Césaire International Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'WiFi', 'Advanced Driving Assistance Systems']","['luxury travelers', 'business travelers', 'elderly travelers']"
12,Fort-de-France,73.86,Martinique Aimé Césaire International Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Women-only cars', 'Airport safe waiting areas', 'WiFi', 'Pet seat belts', 'Pet-friendly']","['solo women', 'business travelers', 'with pets']"
13,Fort-de-France,137.53,Martinique Aimé Césaire International Airport,Minivan,7,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Child seats', 'Child locks', 'Pet seat belts', 'Pet-friendly']","['disabled traveler', 'with children', 'with pets']"
