attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Tbilisi,Georgia,Nature/Scenery/Park,Khevi Forest Reserve,"Khevi Forest Reserve is a nature in Tbilisi, Georgia, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Khevi Forest Reserve, a peaceful nature in Tbilisi, Georgia, ideal for nature lovers. Open 08:30-17:30, entry 2.8 USD.",2.8,08:30-17:30,3 hours,3.7,"399 Jurong Hill, Tbilisi",41.67305114639986,44.94762568099515,['foodie'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours']"
2,Tbilisi,Georgia,Nature/Scenery/Park,Verdant Valley Walk,"Verdant Valley Walk is a nature in Tbilisi, Georgia, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Verdant Valley Walk, a peaceful nature in Tbilisi, Georgia, ideal for nature lovers. Open 08:00-22:00, entry 10.5 USD.",10.5,08:00-22:00,3 hours,3.7,"609-8543 Sapporo City, Nishi 1-chome, Tbilisi",41.66462443180858,44.81936146722634,"['with children', 'with pets', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events']"
3,Tbilisi,Georgia,Nature/Scenery/Park,Khevi Skyward Grove,"Khevi Skyward Grove is a nature in Tbilisi, Georgia, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Khevi Skyward Grove, a peaceful nature in Tbilisi, Georgia, ideal for nature lovers. Open 09:00-21:00, entry 11.05 USD.",11.05,09:00-21:00,3 hours,3.7,"721-8745 Sapporo City, Nishi 1-chome, Tbilisi",41.83087824456558,44.80559019518566,"['with pets', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
4,Tbilisi,Georgia,Nature/Scenery/Park,Sulphur Valley Walk,"Sulphur Valley Walk is a nature in Tbilisi, Georgia, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Sulphur Valley Walk, a peaceful nature in Tbilisi, Georgia, ideal for nature lovers. Open 08:00-20:00, entry 9.8 USD.",9.8,08:00-20:00,3 hours,3.7,"342 Beachside Lane, Tbilisi",41.68521824496232,44.87399992210147,"['solo women', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
5,Tbilisi,Georgia,Nature/Scenery/Park,Luminous River Drift,"Luminous River Drift is a nature in Tbilisi, Georgia, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Luminous River Drift, a peaceful nature in Tbilisi, Georgia, ideal for nature lovers. Open 08:30-19:00, entry 5.6 USD.",5.6,08:30-19:00,3 hours,3.7,"170 Gwangnangno, Nowon-gu, Tbilisi",41.70542280691589,44.94299918690766,"['nightlife enthusiast', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
6,Tbilisi,Georgia,Nature/Scenery/Park,Khevi Valley Sanctuary,"Khevi Valley Sanctuary is a nature in Tbilisi, Georgia, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Khevi Valley Sanctuary, a peaceful nature in Tbilisi, Georgia, ideal for nature lovers. Open 08:00-18:00, entry 6.44 USD.",6.44,08:00-18:00,3 hours,3.7,"No. 456, Aerospace Avenue, High- Tech Development Zone, Tbilisi",41.63233439617896,44.91677163380285,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
7,Tbilisi,Georgia,Nature/Scenery/Park,Verdant Ridge Culinary Escape,"Verdant Ridge Culinary Escape is a nature in Tbilisi, Georgia, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Verdant Ridge Culinary Escape, a peaceful nature in Tbilisi, Georgia, ideal for nature lovers. Open 10:00-18:00, entry 24.24 USD.",24.24,10:00-18:00,3 hours,3.7,"899 Sakura Street, Naka-ku, Tbilisi",41.67537262194116,44.838276432172016,"['with pets', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,Tbilisi,Georgia,Nature/Scenery/Park,Sulphur Springs Valley Adventure Pass,"Sulphur Springs Valley Adventure Pass is a nature in Tbilisi, Georgia, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Sulphur Springs Valley Adventure Pass, a peaceful nature in Tbilisi, Georgia, ideal for nature lovers. Open 09:00-17:30, entry 12.93 USD.",12.93,09:00-17:30,3 hours,3.7,"272 Seaside Promenade, Tbilisi",41.72230199136557,44.865539456326886,"['with children', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
9,Tbilisi,Georgia,Nature/Scenery/Park,Skyline Vista,"Skyline Vista is a nature in Tbilisi, Georgia, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Skyline Vista, a peaceful nature in Tbilisi, Georgia, ideal for nature lovers. Open 08:30-17:00, entry 6.39 USD.",6.39,08:30-17:00,3 hours,3.7,"894-8601, 2-11-5 Shibuya, Shibuya City, Tbilisi",41.7177934297615,44.861938075824575,"['solo women', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
10,Tbilisi,Georgia,Nature/Scenery/Park,Verdant Vortex Playground,"Verdant Vortex Playground is a nature in Tbilisi, Georgia, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Verdant Vortex Playground, a peaceful nature in Tbilisi, Georgia, ideal for nature lovers. Open 08:00-20:00, entry 17.5 USD.",17.5,08:00-20:00,3 hours,3.7,"210 Orchard Road, Tbilisi",41.827612869226485,44.80859556975102,"['nightlife enthusiast', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'wheelchair rental', 'benches/rest areas']"
