attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Amman,Jordan,Nature/Scenery/Park,Wadi Al-Hamra Nature Reserve,"Wadi Al-Hamra Nature Reserve is a nature in Amman, Jordan, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.4 USD. Recommended visit: 3 hours. Discover Wadi Al-Hamra Nature Reserve, a peaceful nature in Amman, Jordan, ideal for nature lovers. Open 09:00-17:30, entry 12.4 USD.",12.4,09:00-17:30,3 hours,3.7,"409 Sakura Street, Naka Ward, Amman",31.509544008419013,36.36844839383095,"['with children', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
2,Amman,Jordan,Nature/Scenery/Park,Wadi Al-Khala Nature Walk,"Wadi Al-Khala Nature Walk is a nature in Amman, Jordan, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.0 USD. Recommended visit: 3 hours. Discover Wadi Al-Khala Nature Walk, a peaceful nature in Amman, Jordan, ideal for nature lovers. Open 09:00-21:00, entry 7.0 USD.",7.0,09:00-21:00,3 hours,3.7,"No. 456, Cultural Street, Amman",31.34978951832421,36.12541189808128,"['fast-paced budget travel', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
3,Amman,Jordan,Nature/Scenery/Park,Jabal Al-Waqa'i Sanctuary,"Jabal Al-Waqa'i Sanctuary is a nature in Amman, Jordan, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.58 USD. Recommended visit: 3 hours. Discover Jabal Al-Waqa'i Sanctuary, a peaceful nature in Amman, Jordan, ideal for nature lovers. Open 08:30-17:30, entry 13.58 USD.",13.58,08:30-17:30,3 hours,3.7,"No. 12, Zhongshan Road, Amman",31.44901737247321,36.45940751140722,"['with children', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
4,Amman,Jordan,Nature/Scenery/Park,Wadi Al-Ma'wa Green Path,"Wadi Al-Ma'wa Green Path is a nature in Amman, Jordan, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Wadi Al-Ma'wa Green Path, a peaceful nature in Amman, Jordan, ideal for nature lovers. Open 09:00-18:00, entry 4.12 USD.",4.12,09:00-18:00,3 hours,3.7,"802 Sakura Street, Naka-ku, Amman",31.260359033641286,36.18139395464127,"['elderly travelers', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Amman,Jordan,Nature/Scenery/Park,Moonlit Valley Walk,"Moonlit Valley Walk is a nature in Amman, Jordan, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Moonlit Valley Walk, a peaceful nature in Amman, Jordan, ideal for nature lovers. Open 08:30-17:00, entry 94.11 USD.",94.11,08:30-17:00,3 hours,3.7,"480 Sakura Street, Shibuya Ward, Amman",31.95386476196961,35.84231556252411,"['with pets', 'photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
6,Amman,Jordan,Nature/Scenery/Park,Jabal Al-Hamra Vista,"Jabal Al-Hamra Vista is a nature in Amman, Jordan, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.15 USD. Recommended visit: 3 hours. Discover Jabal Al-Hamra Vista, a peaceful nature in Amman, Jordan, ideal for nature lovers. Open 09:00-21:00, entry 13.15 USD.",13.15,09:00-21:00,3 hours,3.7,"520 Sakura Street, Chuo Ward, Amman",31.81857296999205,36.10366965130784,"['photography', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Amman,Jordan,Nature/Scenery/Park,Wadi Al-Rum Skyline Adventure,"Wadi Al-Rum Skyline Adventure is a nature in Amman, Jordan, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.24 USD. Recommended visit: 3 hours. Discover Wadi Al-Rum Skyline Adventure, a peaceful nature in Amman, Jordan, ideal for nature lovers. Open 09:00-17:30, entry 12.24 USD.",12.24,09:00-17:30,3 hours,3.7,"No. 456, Zhongshan Road, Amman",31.640594511503064,36.10257771084171,"['nightlife enthusiast', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
8,Amman,Jordan,Nature/Scenery/Park,Skyline Haven,"Skyline Haven is a nature in Amman, Jordan, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Skyline Haven, a peaceful nature in Amman, Jordan, ideal for nature lovers. Open 09:00-17:30, entry 116.65 USD.",116.65,09:00-17:30,3 hours,3.7,"No. 456, Zhongshan Road, Amman",31.518624328699826,36.299335005074944,['nightlife enthusiast'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows']"
9,Amman,Jordan,Nature/Scenery/Park,Wadi Al-Hamra Adventure Hub,"Wadi Al-Hamra Adventure Hub is a nature in Amman, Jordan, popular for its natural scenery and relaxing atmosphere. Entry fee is 27.86 USD. Recommended visit: 3 hours. Discover Wadi Al-Hamra Adventure Hub, a peaceful nature in Amman, Jordan, ideal for nature lovers. Open 09:00-17:30, entry 27.86 USD.",27.86,09:00-17:30,3 hours,3.7,"679 Sathorn Unique Tower, Silom Road, Amman",31.48971632301495,35.86659985078131,"['fast-paced budget travel', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
10,Amman,Jordan,Nature/Scenery/Park,Wadi Al-Khaleel Botanical Haven,"Wadi Al-Khaleel Botanical Haven is a nature in Amman, Jordan, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.47 USD. Recommended visit: 3 hours. Discover Wadi Al-Khaleel Botanical Haven, a peaceful nature in Amman, Jordan, ideal for nature lovers. Open 08:00-17:30, entry 6.47 USD.",6.47,08:00-17:30,3 hours,3.7,"No. 456, Xinglin Road, Amman",31.384692582401783,36.43627498653951,"['road trip', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
