attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Greater Manchester,United Kingdom,Nature/Scenery/Park,Riverside Green Haven,"Riverside Green Haven is a nature in Greater Manchester, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Riverside Green Haven, a peaceful nature in Greater Manchester, United Kingdom, ideal for nature lovers. Open 08:00-17:30, entry 11.76 USD.",11.76,08:00-17:30,3 hours,3.7,"219-2-3 Nishiki-chuo, Kita-ku, Manchester, Greater Manchester",53.63335860413341,-2.3572829910701234,"['with children', 'fast-paced budget travel', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security']"
2,Greater Manchester,United Kingdom,Nature/Scenery/Park,Greenfield Walks Discovery Trail,"Greenfield Walks Discovery Trail is a nature in Greater Manchester, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Greenfield Walks Discovery Trail, a peaceful nature in Greater Manchester, United Kingdom, ideal for nature lovers. Open 08:30-17:30, entry 4.36 USD.",4.36,08:30-17:30,3 hours,3.7,"143 Sakura Street, Naka-ku, Manchester, Greater Manchester",53.40931759250144,-2.1943800597041605,"['foodie', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
3,Greater Manchester,United Kingdom,Nature/Scenery/Park,Hollowbrook Sanctuary,"Hollowbrook Sanctuary is a nature in Greater Manchester, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Hollowbrook Sanctuary, a peaceful nature in Greater Manchester, United Kingdom, ideal for nature lovers. Open 08:30-19:00, entry 5.6 USD.",5.6,08:30-19:00,3 hours,3.7,"472 Sukhumvit Road, Manchester, Greater Manchester",53.39028670938733,-2.045077892936273,"['nightlife enthusiast', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
4,Greater Manchester,United Kingdom,Nature/Scenery/Park,Peakside Greenway,"Peakside Greenway is a nature in Greater Manchester, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Peakside Greenway, a peaceful nature in Greater Manchester, United Kingdom, ideal for nature lovers. Open 08:30-17:00, entry 8.65 USD.",8.65,08:30-17:00,3 hours,3.7,"686 Sathorn Road, Watthana District, Manchester, Greater Manchester",53.56180244709489,-2.252524321835452,"['with pets', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
5,Greater Manchester,United Kingdom,Nature/Scenery/Park,Riverlight Serenade,"Riverlight Serenade is a nature in Greater Manchester, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Riverlight Serenade, a peaceful nature in Greater Manchester, United Kingdom, ideal for nature lovers. Open 08:30-17:00, entry 11.05 USD.",11.05,08:30-17:00,3 hours,3.7,"No. 456 Riverside Lane, Manchester, Greater Manchester",53.47799764479834,-2.268449354510732,"['luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
6,Greater Manchester,United Kingdom,Nature/Scenery/Park,Hollow Vale Wildscape,"Hollow Vale Wildscape is a nature in Greater Manchester, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Hollow Vale Wildscape, a peaceful nature in Greater Manchester, United Kingdom, ideal for nature lovers. Open 08:00-19:00, entry 3.36 USD.",3.36,08:00-19:00,3 hours,3.7,"282-8890 Fukuoka City, Chuo Ward, 3-1-1 Naka, Manchester, Greater Manchester",53.47120240900773,-2.5809739341627664,"['photography', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
7,Greater Manchester,United Kingdom,Nature/Scenery/Park,Greenfield Heights Eco Retreat,"Greenfield Heights Eco Retreat is a nature in Greater Manchester, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Greenfield Heights Eco Retreat, a peaceful nature in Greater Manchester, United Kingdom, ideal for nature lovers. Open 09:00-17:00, entry 4.12 USD.",4.12,09:00-17:00,3 hours,3.7,"769-8901 Sapporo City, Nishi 5-chome, Manchester, Greater Manchester",53.527725676185206,-2.190031163453023,"['with children', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
8,Greater Manchester,United Kingdom,Nature/Scenery/Park,Peak Forest Tramway Adventure Pass,"Peak Forest Tramway Adventure Pass is a nature in Greater Manchester, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Peak Forest Tramway Adventure Pass, a peaceful nature in Greater Manchester, United Kingdom, ideal for nature lovers. Open 09:00-17:30, entry 17.5 USD.",17.5,09:00-17:30,3 hours,3.7,"No. 456 Xinglong Road, Manchester, Greater Manchester",53.433048826160686,-2.328218947236256,"['fast-paced budget travel', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
9,Greater Manchester,United Kingdom,Nature/Scenery/Park,Skyline Green,"Skyline Green is a nature in Greater Manchester, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Skyline Green, a peaceful nature in Greater Manchester, United Kingdom, ideal for nature lovers. Open 10:00-22:00, entry 1.4 USD.",1.4,10:00-22:00,3 hours,3.7,"212 Shiroiwa Street, Manchester, Greater Manchester",53.5550057907961,-2.489524394218741,"['with pets', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'parking']"
10,Greater Manchester,United Kingdom,Nature/Scenery/Park,Greenwave Explorers Hub,"Greenwave Explorers Hub is a nature in Greater Manchester, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Greenwave Explorers Hub, a peaceful nature in Greater Manchester, United Kingdom, ideal for nature lovers. Open 09:30-17:00, entry 22.61 USD.",22.61,09:30-17:00,3 hours,3.7,"641-12 Seocho-dong, Busanjin-gu, Manchester, Greater Manchester",53.42731995948876,-2.4403388425869306,"['fast-paced budget travel', 'solo women', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events']"
