attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Tokyo,Tokyo SkyView Access Pass,"372-12-8 Shibuya, Shibuya City",139.911652,35.712512,09:00-21:00,160.72,"Tokyo SkyView Access Pass is a historic site in Tokyo, Japan, popular for its memorable experiences. Entry fee is 160.72 USD. Recommended visit: 2 hours. Discover Tokyo SkyView Access Pass, a notable historic site in Tokyo, Japan, ideal for visitors. Open 09:00-21:00, entry 160.72 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'family restrooms', 'nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Elderly Travelers', 'Fast-Paced Budget Travel', 'Luxury Travelers', 'foodie', 'Photography']",Japan
2,Tokyo,Tokyo Dreamland Entertainment Park,"382 Shinjuku Garden Street, Shinjuku Ward, Tokyo",139.609248,35.614368,09:00-19:00,45.94,"Tokyo Dreamland Entertainment Park is a theme park in Tokyo, Japan, popular for its memorable experiences. Entry fee is 45.94 USD. Recommended visit: 8 hours. Discover Tokyo Dreamland Entertainment Park, a notable theme park in Tokyo, Japan, ideal for visitors. Open 09:00-19:00, entry 45.94 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'family restrooms', 'nursing facilities', 'parking']",Theme Park/Amusement Park,8 hours,3.75,"['Family with children', 'Road trip', 'Pet Owners', 'Nightlife Enthusiast', 'Luxury Travelers', 'foodie']",Japan
3,Tokyo,Tokyo JoyPark Adventure,"138-8-10 Shibuya Hachiko Street, Shibuya Ward",139.745078,35.675934,10:00-22:00,33.05,"Tokyo JoyPark Adventure is a theme park in Tokyo, Japan, popular for its memorable experiences. Entry fee is 33.05 USD. Recommended visit: 8 hours. Discover Tokyo JoyPark Adventure, a notable theme park in Tokyo, Japan, ideal for visitors. Open 10:00-22:00, entry 33.05 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,8 hours,3.75,"['Family with children', 'Elderly Travelers', 'Disabled Travelers', 'couples trip', 'Solo Woman Travelers']",Japan
4,Tokyo,Tokyo Dome City Adventure Park,"959-12-8 Shibuya, Shibuya City, Tokyo",139.732337,35.748162,09:00-21:00,44.75,"Tokyo Dome City Adventure Park is a theme park in Tokyo, Japan, popular for its memorable experiences. Entry fee is 44.75 USD. Recommended visit: 8 hours. Discover Tokyo Dome City Adventure Park, a notable theme park in Tokyo, Japan, ideal for visitors. Open 09:00-21:00, entry 44.75 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'family restrooms', 'nursing facilities', 'photo spots', 'guided photo tours', 'charging stations']",Theme Park/Amusement Park,8 hours,3.75,"['Family with children', 'Pet Owners', 'Fast-Paced Budget Travel', 'Luxury Travelers', 'foodie', 'Photography']",Japan
5,Tokyo,Sunshine 60 Skyview Garden,"887 Shibuya Crossing Street, Shibuya Ward, Tokyo",139.838634,35.656138,09:00-21:00,31.52,"Sunshine 60 Skyview Garden is a nature in Tokyo, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Sunshine 60 Skyview Garden, a peaceful nature in Tokyo, Japan, ideal for nature lovers. Open 09:00-21:00, entry 31.52 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'group tours', 'security', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'parking', 'high speed WiFi']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'Solo Woman Travelers', 'foodie']",Japan
6,Tokyo,Maxell Aqua Park Shinagawa,"498-8567, 3-12-12 Shinagawa, Shinagawa City, Tokyo",139.688507,35.57648,09:00-18:00,24.94,"Maxell Aqua Park Shinagawa is a theme park in Tokyo, Japan, popular for its memorable experiences. Entry fee is 24.94 USD. Recommended visit: 8 hours. Discover Maxell Aqua Park Shinagawa, a notable theme park in Tokyo, Japan, ideal for visitors. Open 09:00-18:00, entry 24.94 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'parking', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Theme Park/Amusement Park,8 hours,3.75,"['Family with children', 'Road trip', 'Fast-Paced Budget Travel', 'couples trip', 'Photography']",Japan
7,Tokyo,Kamogawa Ocean Discovery Center,"443 Seaside Promenade, Minato City",139.823751,35.747267,09:30-17:00,22.93,"Kamogawa Ocean Discovery Center is a nature in Tokyo, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.93 USD. Recommended visit: 3 hours. Discover Kamogawa Ocean Discovery Center, a peaceful nature in Tokyo, Japan, ideal for nature lovers. Open 09:30-17:00, entry 22.93 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'night markets', 'bars', 'evening shows', 'family restrooms', 'nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Elderly Travelers', 'Nightlife Enthusiast', 'Solo Woman Travelers', 'Luxury Travelers', 'Photography']",Japan
8,Tokyo,Sanrio Puroland Tokyo Park,"946 Shibuya Street, Shibuya Ward, Tokyo",139.665454,35.668563,09:30-17:00,22.15,"Sanrio Puroland Tokyo Park is a theme park in Tokyo, Japan, popular for its memorable experiences. Entry fee is 22.15 USD. Recommended visit: 7 hours. Discover Sanrio Puroland Tokyo Park, a notable theme park in Tokyo, Japan, ideal for visitors. Open 09:30-17:00, entry 22.15 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,7 hours,3.75,"['Elderly Travelers', 'Disabled Travelers', 'couples trip', 'Solo Woman Travelers', 'Photography']",Japan
9,Tokyo,TeamLab Worlds TOKYO DMM,"785-12-8 Shibuya, Shibuya City, Tokyo",139.88996,35.721814,10:00-21:00,8.01,"TeamLab Worlds TOKYO DMM is a museum in Tokyo, Japan, popular for its unique collections and exhibitions. Entry fee is 8.01 USD. Recommended visit: 2 hours. Discover TeamLab Worlds TOKYO DMM, a renowned museum in Tokyo, Japan, ideal for art lovers. Open 10:00-21:00, entry 8.01 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Museum/Art Gallery,2 hours,4.0,"['Road trip', 'Fast-Paced Budget Travel', 'couples trip', 'Solo Woman Travelers', 'Photography']",Japan
10,Tokyo,Art Aqua Gallery Ginza,"519 Shirokane-dai, Shibuya City, Tokyo",139.85457,35.740537,10:00-21:00,11.69,"Art Aqua Gallery Ginza is a museum in Tokyo, Japan, popular for its unique collections and exhibitions. Entry fee is 11.69 USD. Recommended visit: 2 hours. Discover Art Aqua Gallery Ginza, a renowned museum in Tokyo, Japan, ideal for art lovers. Open 10:00-21:00, entry 11.69 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'night markets', 'bars', 'evening shows', 'family restrooms', 'nursing facilities', 'parking', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Museum/Art Gallery,2 hours,4.0,"['Family with children', 'Road trip', 'Nightlife Enthusiast', 'Luxury Travelers', 'Photography']",Japan
