attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Tampa,United States,Nature/Scenery/Park,Sunshine Bay Nature Reserve,"Sunshine Bay Nature Reserve is a nature in Tampa, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Sunshine Bay Nature Reserve, a peaceful nature in Tampa, United States, ideal for nature lovers. Open 09:00-17:00, entry 22.61 USD.",22.61,09:00-17:00,3 hours,3.7,"104 Shimbashi Skyline, Minato City, Tampa",28.139009276396543,-82.30198332455979,"['fast-paced budget travel', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
2,Tampa,United States,Nature/Scenery/Park,Sunrise Bayland Trailhead,"Sunrise Bayland Trailhead is a nature in Tampa, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Sunrise Bayland Trailhead, a peaceful nature in Tampa, United States, ideal for nature lovers. Open 09:00-21:00, entry 9.8 USD.",9.8,09:00-21:00,3 hours,3.7,"No. 456, East Chang'an Avenue, Tampa",28.04305478108888,-82.4019708132754,"['solo women', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
3,Tampa,United States,Nature/Scenery/Park,Sunrise Haven Grove,"Sunrise Haven Grove is a nature in Tampa, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Sunrise Haven Grove, a peaceful nature in Tampa, United States, ideal for nature lovers. Open 08:30-17:30, entry 6.39 USD.",6.39,08:30-17:30,3 hours,3.7,"469 Seaside Promenade, Chuo-ku, Tampa",27.82967816162669,-82.50860012672325,"['nightlife enthusiast', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
4,Tampa,United States,Nature/Scenery/Park,Sunshine Bay Nature Trail,"Sunshine Bay Nature Trail is a nature in Tampa, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Sunshine Bay Nature Trail, a peaceful nature in Tampa, United States, ideal for nature lovers. Open 08:00-20:00, entry 4.36 USD.",4.36,08:00-20:00,3 hours,3.7,"960 Sakura Street, Naka Ward, Tampa",27.88709114973336,-82.49163203313906,"['with children', 'fast-paced budget travel', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas']"
5,Tampa,United States,Nature/Scenery/Park,Sunrise Bay Excursion,"Sunrise Bay Excursion is a nature in Tampa, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Sunrise Bay Excursion, a peaceful nature in Tampa, United States, ideal for nature lovers. Open 08:30-17:00, entry 12.93 USD.",12.93,08:30-17:00,3 hours,3.7,"925-678 Kitahama Park, Tampa",27.93672636269447,-82.46641004117264,"['nightlife enthusiast', 'with pets', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'parking']"
6,Tampa,United States,Nature/Scenery/Park,Sunrise Ridge Nature Reserve,"Sunrise Ridge Nature Reserve is a nature in Tampa, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Sunrise Ridge Nature Reserve, a peaceful nature in Tampa, United States, ideal for nature lovers. Open 08:30-17:00, entry 7.57 USD.",7.57,08:30-17:00,3 hours,3.7,"992 Sakura Street, Naka Ward, Tampa",27.994007870378475,-82.50521072243735,"['with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
7,Tampa,United States,Nature/Scenery/Park,Sunrise Ridge EcoTrek,"Sunrise Ridge EcoTrek is a nature in Tampa, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Sunrise Ridge EcoTrek, a peaceful nature in Tampa, United States, ideal for nature lovers. Open 08:00-18:00, entry 7.35 USD.",7.35,08:00-18:00,3 hours,3.7,"979 Sukhumvit Road, Silom, Tampa",27.848402329331265,-82.53802473191016,"['nightlife enthusiast', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'High speed WiFi']"
8,Tampa,United States,Nature/Scenery/Park,Sunshine Skyway Adventure Pass + Clearwater Cliffs Cable Car Round Trip + Bayshore Botanical Garden,"Sunshine Skyway Adventure Pass + Clearwater Cliffs Cable Car Round Trip + Bayshore Botanical Garden is a nature in Tampa, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Sunshine Skyway Adventure Pass + Clearwater Cliffs Cable Car Round Trip + Bayshore Botanical Garden, a peaceful nature in Tampa, United States, ideal for nature lovers. Open 08:30-17:00, entry 11.05 USD.",11.05,08:30-17:00,3 hours,3.7,"361-10 Gwangjanggongwon-ro, Jongno-gu, Tampa",27.894245483005744,-82.51689501992415,"['with pets', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
9,Tampa,United States,Nature/Scenery/Park,Tidepoint Sanctuary,"Tidepoint Sanctuary is a nature in Tampa, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Tidepoint Sanctuary, a peaceful nature in Tampa, United States, ideal for nature lovers. Open 09:30-17:00, entry 94.11 USD.",94.11,09:30-17:00,3 hours,3.7,"No. 456, Ancient Street, Tampa",27.98491092325924,-82.49625044978845,"['solo women', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
10,Tampa,United States,Nature/Scenery/Park,Sunrise Treetop Haven,"Sunrise Treetop Haven is a nature in Tampa, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Sunrise Treetop Haven, a peaceful nature in Tampa, United States, ideal for nature lovers. Open 08:30-17:30, entry 11.76 USD.",11.76,08:30-17:30,3 hours,3.7,"538 Kita-Honganji-dori, Sakyo-ku, Tampa",27.98865875151857,-82.53651908758808,"['with children', 'with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
