attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Manaus,Brazil,Nature/Scenery/Park,Amazonian Verdant Haven,"Amazonian Verdant Haven is a nature in Manaus, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Amazonian Verdant Haven, a peaceful nature in Manaus, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 12.93 USD.",12.93,09:00-17:30,3 hours,3.7,"342 Phra Singh Road, Manaus",-2.389062926158391,-60.25099738768175,"['solo women', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'parking']"
2,Manaus,Brazil,Nature/Scenery/Park,Verdant Veil Canopy Walk,"Verdant Veil Canopy Walk is a nature in Manaus, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Verdant Veil Canopy Walk, a peaceful nature in Manaus, Brazil, ideal for nature lovers. Open 09:00-21:00, entry 12.32 USD.",12.32,09:00-21:00,3 hours,3.7,"781 Jurong East Street 21, Manaus",-2.9842522944819927,-60.13240046190002,"['with children', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
3,Manaus,Brazil,Nature/Scenery/Park,Verdant Haven Sanctuary,"Verdant Haven Sanctuary is a nature in Manaus, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Verdant Haven Sanctuary, a peaceful nature in Manaus, Brazil, ideal for nature lovers. Open 10:00-18:00, entry 2.8 USD.",2.8,10:00-18:00,3 hours,3.7,"698 Seogwipo Street, Manaus",-2.413909734483326,-60.13690651141914,"['photography', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
4,Manaus,Brazil,Nature/Scenery/Park,Amazonian Mangrove Walk,"Amazonian Mangrove Walk is a nature in Manaus, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Amazonian Mangrove Walk, a peaceful nature in Manaus, Brazil, ideal for nature lovers. Open 09:00-19:00, entry 116.65 USD.",116.65,09:00-19:00,3 hours,3.7,"No. 456, Zhongshan Road, Manaus",-2.4930180080925144,-60.58528375396757,"['fast-paced budget travel', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
5,Manaus,Brazil,Nature/Scenery/Park,Lagoon Moonlight Voyage,"Lagoon Moonlight Voyage is a nature in Manaus, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Lagoon Moonlight Voyage, a peaceful nature in Manaus, Brazil, ideal for nature lovers. Open 08:30-17:00, entry 2.0 USD.",2.0,08:30-17:00,3 hours,3.7,"306 Sukhumvit Road, Khlong Toei District, Manaus",-3.107997677323432,-59.91782578635749,"['solo women', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
6,Manaus,Brazil,Nature/Scenery/Park,Emerald Ridge Sanctuary,"Emerald Ridge Sanctuary is a nature in Manaus, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Emerald Ridge Sanctuary, a peaceful nature in Manaus, Brazil, ideal for nature lovers. Open 08:00-20:00, entry 22.61 USD.",22.61,08:00-20:00,3 hours,3.7,"853 Shinjuku Art Walk, Shinjuku, Manaus",-3.005379726300574,-59.5170039080124,"['nightlife enthusiast', 'fast-paced budget travel', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations']"
7,Manaus,Brazil,Nature/Scenery/Park,Verde Vista Skywalk,"Verde Vista Skywalk is a nature in Manaus, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Verde Vista Skywalk, a peaceful nature in Manaus, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 75.28 USD.",75.28,09:00-17:30,3 hours,3.7,"647 Nishi-Kurashiki Street, Chuo Ward, Manaus",-3.1321992160831664,-60.101006843773206,"['foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'parking']"
8,Manaus,Brazil,Nature/Scenery/Park,Amazon Skyline Adventure Pass,"Amazon Skyline Adventure Pass is a nature in Manaus, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Amazon Skyline Adventure Pass, a peaceful nature in Manaus, Brazil, ideal for nature lovers. Open 08:30-17:30, entry 8.12 USD.",8.12,08:30-17:30,3 hours,3.7,"270/20 Maha Chai Road, Sathorn District, Manaus",-2.109878717723701,-60.352662505456,"['nightlife enthusiast', 'with children', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Manaus,Brazil,Nature/Scenery/Park,Tropical Vista Point,"Tropical Vista Point is a nature in Manaus, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Tropical Vista Point, a peaceful nature in Manaus, Brazil, ideal for nature lovers. Open 09:00-18:00, entry 12.53 USD.",12.53,09:00-18:00,3 hours,3.7,"303 Nishi-Ku Street, Manaus",-2.308243930291219,-60.59973393460808,"['disabled traveler', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
10,Manaus,Brazil,Nature/Scenery/Park,Jungle Pulse Playzone,"Jungle Pulse Playzone is a nature in Manaus, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Jungle Pulse Playzone, a peaceful nature in Manaus, Brazil, ideal for nature lovers. Open 08:30-17:30, entry 3.36 USD.",3.36,08:30-17:30,3 hours,3.7,"771 Shirokane Street, Chuo Ward, Manaus",-2.9921236288103272,-60.22354615904717,"['fast-paced budget travel', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
