attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Firenze,Italy,Nature/Scenery/Park,Verde delle Fate,"Verde delle Fate is a nature in Firenze, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Verde delle Fate, a peaceful nature in Firenze, Italy, ideal for nature lovers. Open 08:30-17:00, entry 6.44 USD.",6.44,08:30-17:00,3 hours,3.7,"445 Rama IV Road, Firenze",43.77568261601393,11.246117638733615,"['nightlife enthusiast', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
2,Firenze,Italy,Nature/Scenery/Park,Verde Veloce Trail,"Verde Veloce Trail is a nature in Firenze, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Verde Veloce Trail, a peaceful nature in Firenze, Italy, ideal for nature lovers. Open 09:00-21:00, entry 43.59 USD.",43.59,09:00-21:00,3 hours,3.7,"927 Beach Road, Firenze",43.769135801673286,11.255486435257088,"['photography', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'parking']"
3,Firenze,Italy,Nature/Scenery/Park,Verde Alta Sanctuary,"Verde Alta Sanctuary is a nature in Firenze, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Verde Alta Sanctuary, a peaceful nature in Firenze, Italy, ideal for nature lovers. Open 08:00-19:00, entry 12.32 USD.",12.32,08:00-19:00,3 hours,3.7,"No. 128, Xueyuan Road, Firenze",43.76818455963868,11.204099191977717,"['with pets', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
4,Firenze,Italy,Nature/Scenery/Park,Arno Riverside Walk,"Arno Riverside Walk is a nature in Firenze, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Arno Riverside Walk, a peaceful nature in Firenze, Italy, ideal for nature lovers. Open 08:30-17:30, entry 75.28 USD.",75.28,08:30-17:30,3 hours,3.7,"301 Shibuya Street, Shibuya Ward, Firenze",43.79435810678672,11.325452254200137,"['nightlife enthusiast', 'with children', 'fast-paced budget travel']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours']"
5,Firenze,Italy,Nature/Scenery/Park,Luminara River Walk,"Luminara River Walk is a nature in Firenze, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Luminara River Walk, a peaceful nature in Firenze, Italy, ideal for nature lovers. Open 09:00-17:00, entry 31.52 USD.",31.52,09:00-17:00,3 hours,3.7,"707 Phra Sumen Road, Sathorn District, Firenze",43.74580998900004,11.290214386385626,"['nightlife enthusiast', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
6,Firenze,Italy,Nature/Scenery/Park,Verde Selva Reserve,"Verde Selva Reserve is a nature in Firenze, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Verde Selva Reserve, a peaceful nature in Firenze, Italy, ideal for nature lovers. Open 08:00-17:30, entry 5.15 USD.",5.15,08:00-17:30,3 hours,3.7,"572 Seongsan Road, Firenze",43.79145772344025,11.21710238336171,"['couples trip', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
7,Firenze,Italy,Nature/Scenery/Park,Verde Vista Eco Retreat,"Verde Vista Eco Retreat is a nature in Firenze, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Verde Vista Eco Retreat, a peaceful nature in Firenze, Italy, ideal for nature lovers. Open 08:30-18:00, entry 15.4 USD.",15.4,08:30-18:00,3 hours,3.7,"379 Gwanghwamun Street, Jongno-gu, Firenze",43.7819661234748,11.240737051157128,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
8,Firenze,Italy,Nature/Scenery/Park,Monte Allegra Sky Express & Green Valley Pass,"Monte Allegra Sky Express & Green Valley Pass is a nature in Firenze, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Monte Allegra Sky Express & Green Valley Pass, a peaceful nature in Firenze, Italy, ideal for nature lovers. Open 09:00-18:00, entry 2.0 USD.",2.0,09:00-18:00,3 hours,3.7,"No. 456, Xingye Road, Futian District, Firenze",43.78157650547433,11.29589642448416,"['fast-paced budget travel', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
9,Firenze,Italy,Nature/Scenery/Park,Verde Horizon,"Verde Horizon is a nature in Firenze, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Verde Horizon, a peaceful nature in Firenze, Italy, ideal for nature lovers. Open 06:00-20:00, entry 6.72 USD.",6.72,06:00-20:00,3 hours,3.7,"No. 456, Cultural Avenue, Firenze",43.744613385997056,11.213991609262312,"['with children', 'couples trip', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Food markets', 'tasting tours']"
10,Firenze,Italy,Nature/Scenery/Park,Verde Veloce Adventure Garden,"Verde Veloce Adventure Garden is a nature in Firenze, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Verde Veloce Adventure Garden, a peaceful nature in Firenze, Italy, ideal for nature lovers. Open 08:00-20:00, entry 14.4 USD.",14.4,08:00-20:00,3 hours,3.7,"No. 588, Dongping Road, Firenze",43.77629502976175,11.236467491368996,"['with children', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
