attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Ontario,United States,Nature/Scenery/Park,Maplewood Haven,"Maplewood Haven is a nature in Ontario, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Maplewood Haven, a peaceful nature in Ontario, United States, ideal for nature lovers. Open 08:00-22:00, entry 116.65 USD.",116.65,08:00-22:00,3 hours,3.7,"No. 456 Riverside Promenade, Ontario",34.05970278713784,-117.58986099660954,"['with children', 'elderly travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Ontario,United States,Nature/Scenery/Park,Verdant Hollow EcoTrail,"Verdant Hollow EcoTrail is a nature in Ontario, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Verdant Hollow EcoTrail, a peaceful nature in Ontario, United States, ideal for nature lovers. Open 09:00-21:00, entry 20.74 USD.",20.74,09:00-21:00,3 hours,3.7,"No. 456, Riverside Cultural Park, Ontario",34.055542036107155,-117.66297046363816,"['photography', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
3,Ontario,United States,Nature/Scenery/Park,Evergreen Haven,"Evergreen Haven is a nature in Ontario, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Evergreen Haven, a peaceful nature in Ontario, United States, ideal for nature lovers. Open 09:30-17:00, entry 12.53 USD.",12.53,09:30-17:00,3 hours,3.7,"No. 456, Zhongshan Road, Ontario",34.01949046830877,-117.5697321353313,"['fast-paced budget travel', 'solo women', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'parking']"
4,Ontario,United States,Nature/Scenery/Park,Lakefront Discovery Trail,"Lakefront Discovery Trail is a nature in Ontario, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Lakefront Discovery Trail, a peaceful nature in Ontario, United States, ideal for nature lovers. Open 09:00-17:30, entry 11.05 USD.",11.05,09:00-17:30,3 hours,3.7,"No. 456 Riverside Lane, Ontario",34.06693956850469,-117.66672971260074,"['with pets', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
5,Ontario,United States,Nature/Scenery/Park,Moonbeam Bay Scenic Tour,"Moonbeam Bay Scenic Tour is a nature in Ontario, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Moonbeam Bay Scenic Tour, a peaceful nature in Ontario, United States, ideal for nature lovers. Open 09:30-17:00, entry 51.08 USD.",51.08,09:30-17:00,3 hours,3.7,"984-8 Shinsaibashi, Chuo Ward, Ontario",34.03710657775996,-117.67562919468423,"['fast-paced budget travel', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'High speed WiFi']"
6,Ontario,United States,Nature/Scenery/Park,Evergreen Hollow Preserve,"Evergreen Hollow Preserve is a nature in Ontario, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Evergreen Hollow Preserve, a peaceful nature in Ontario, United States, ideal for nature lovers. Open 09:00-17:30, entry 2059.2 USD.",2059.2,09:00-17:30,3 hours,3.7,"270/20 Maha Chai Road, Sathorn District, Ontario",33.986023218182915,-117.62332987256148,"['photography', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
7,Ontario,United States,Nature/Scenery/Park,Evergreen Ridge Culinary Escape,"Evergreen Ridge Culinary Escape is a nature in Ontario, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Evergreen Ridge Culinary Escape, a peaceful nature in Ontario, United States, ideal for nature lovers. Open 08:00-20:00, entry 294.64 USD.",294.64,08:00-20:00,3 hours,3.7,"No. 456, West Lake Scenic Avenue, Ontario",34.0583553136152,-117.57195896668884,"['couples trip', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
8,Ontario,United States,Nature/Scenery/Park,Silverleaf Valley Explorer Pass,"Silverleaf Valley Explorer Pass is a nature in Ontario, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Silverleaf Valley Explorer Pass, a peaceful nature in Ontario, United States, ideal for nature lovers. Open 19:00-23:00, entry 2.8 USD.",2.8,19:00-23:00,3 hours,3.7,"481 Sukhumvit Road, Ontario",34.08548511590779,-117.6590809676552,"['fast-paced budget travel', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Ontario,United States,Nature/Scenery/Park,Horizon Haven,"Horizon Haven is a nature in Ontario, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Horizon Haven, a peaceful nature in Ontario, United States, ideal for nature lovers. Open 08:30-17:00, entry 31.52 USD.",31.52,08:30-17:00,3 hours,3.7,"586 Rachadaphisek Road, Ontario",34.07572434862875,-117.53627872820798,"['nightlife enthusiast', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
10,Ontario,United States,Nature/Scenery/Park,Green Haven Explorer's Grove,"Green Haven Explorer's Grove is a nature in Ontario, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Green Haven Explorer's Grove, a peaceful nature in Ontario, United States, ideal for nature lovers. Open 09:00-17:00, entry 5.15 USD.",5.15,09:00-17:00,3 hours,3.7,"No. 128, Yanshan Road, Ontario",34.076221491883096,-117.63718712828562,['nightlife enthusiast'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows']"
