car_id,city_name,price_per_day,pickup_location,car_type,capacity,extra_services,extra_services_group
1,Badung,52.33,Denpasar I Gusti Ngurah Rai International Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Child seats', 'Child locks', 'Women-only cars', 'Airport safe waiting areas', 'Pet seat belts', 'Pet-friendly']","['with children', 'solo women', 'with pets']"
2,Badung,52.62,Denpasar I Gusti Ngurah Rai International Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Child seats', 'Child locks']","['disabled traveler', 'luxury travelers', 'with children']"
3,Badung,46.23,Denpasar I Gusti Ngurah Rai International Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Child seats', 'Child locks', 'Advanced Driving Assistance Systems']","['disabled traveler', 'with children', 'elderly travelers']"
4,Badung,42.91,Denpasar I Gusti Ngurah Rai International Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Child seats', 'Child locks', 'Women-only cars', 'Airport safe waiting areas']","['road trip', 'with children', 'solo women']"
5,Badung,46.28,Denpasar I Gusti Ngurah Rai International Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Late pick up services', 'Advanced Driving Assistance Systems']","['photography', 'nightlife enthusiast', 'elderly travelers']"
6,Badung,45.83,Denpasar I Gusti Ngurah Rai International Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Advanced Driving Assistance Systems']","['road trip', 'disabled traveler', 'elderly travelers']"
7,Badung,77.96,Denpasar I Gusti Ngurah Rai International Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Women-only cars', 'Airport safe waiting areas', 'Advanced Driving Assistance Systems']","['luxury travelers', 'solo women', 'elderly travelers']"
8,Badung,57.08,Denpasar I Gusti Ngurah Rai International Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'WiFi']","['road trip', 'luxury travelers', 'business travelers']"
9,Badung,63.89,Denpasar I Gusti Ngurah Rai International Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Pet seat belts', 'Pet-friendly']","['photography', 'luxury travelers', 'with pets']"
10,Badung,102.2,Denpasar I Gusti Ngurah Rai International Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Child seats', 'Child locks']","['road trip', 'disabled traveler', 'with children']"
11,Badung,104.82,Denpasar I Gusti Ngurah Rai International Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'WiFi', 'Late pick up services', 'Advanced Driving Assistance Systems']","['business travelers', 'nightlife enthusiast', 'elderly travelers']"
12,Badung,109.8,Denpasar I Gusti Ngurah Rai International Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'WiFi']","['photography', 'luxury travelers', 'business travelers']"
13,Badung,139.88,Denpasar I Gusti Ngurah Rai International Airport,Minivan,7,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Pet seat belts', 'Pet-friendly']","['road trip', 'disabled traveler', 'with pets']"
14,Badung,98.15,Denpasar I Gusti Ngurah Rai International Airport,Minivan,7,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Child seats', 'Child locks', 'Women-only cars', 'Airport safe waiting areas']","['photography', 'with children', 'solo women']"
15,Badung,106.49,Denpasar I Gusti Ngurah Rai International Airport,Minivan,7,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Child seats', 'Child locks', 'WiFi', 'Pet seat belts', 'Pet-friendly']","['with children', 'business travelers', 'with pets']"
16,Badung,133.33,Denpasar I Gusti Ngurah Rai International Airport,Luxury,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Women-only cars', 'Airport safe waiting areas', 'Late pick up services', 'Pet seat belts', 'Pet-friendly']","['solo women', 'nightlife enthusiast', 'with pets']"
17,Badung,112.29,Denpasar I Gusti Ngurah Rai International Airport,Luxury,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Advanced Driving Assistance Systems']","['photography', 'disabled traveler', 'elderly travelers']"
18,Badung,136.14,Denpasar I Gusti Ngurah Rai International Airport,Luxury,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Child seats', 'Child locks', 'Late pick up services']","['photography', 'with children', 'nightlife enthusiast']"
19,Badung,133.83,Denpasar I Gusti Ngurah Rai International Airport,Convertible,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Women-only cars', 'Airport safe waiting areas', 'Pet seat belts', 'Pet-friendly']","['disabled traveler', 'solo women', 'with pets']"
20,Badung,157.3,Denpasar I Gusti Ngurah Rai International Airport,Convertible,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Child seats', 'Child locks', 'WiFi', 'Late pick up services']","['with children', 'business travelers', 'nightlife enthusiast']"
21,Badung,101.83,Denpasar I Gusti Ngurah Rai International Airport,Convertible,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'WiFi']","['photography', 'disabled traveler', 'business travelers']"
22,Badung,119.23,Denpasar I Gusti Ngurah Rai International Airport,EV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Late pick up services', 'Pet seat belts', 'Pet-friendly']","['road trip', 'nightlife enthusiast', 'with pets']"
23,Badung,63.19,Denpasar I Gusti Ngurah Rai International Airport,EV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Late pick up services']","['photography', 'luxury travelers', 'nightlife enthusiast']"
24,Badung,100.5,Denpasar I Gusti Ngurah Rai International Airport,EV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Advanced Driving Assistance Systems']","['road trip', 'luxury travelers', 'elderly travelers']"
25,Badung,97.7,Denpasar I Gusti Ngurah Rai International Airport,Wagon,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Child seats', 'Child locks', 'WiFi', 'Pet seat belts', 'Pet-friendly']","['with children', 'business travelers', 'with pets']"
26,Badung,80.9,Denpasar I Gusti Ngurah Rai International Airport,Wagon,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Women-only cars', 'Airport safe waiting areas', 'Pet seat belts', 'Pet-friendly']","['luxury travelers', 'solo women', 'with pets']"
27,Badung,68.58,Denpasar I Gusti Ngurah Rai International Airport,Wagon,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Child seats', 'Child locks', 'Advanced Driving Assistance Systems']","['disabled traveler', 'with children', 'elderly travelers']"
