attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Seattle,United States,Nature/Scenery/Park,Evergreen Wildscape Preserve,"Evergreen Wildscape Preserve is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Evergreen Wildscape Preserve, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 08:30-17:00, entry 12.32 USD.",12.32,08:30-17:00,3 hours,3.7,"882/1 Sukhumvit Road, Khlong Tan Nua, Seattle",47.71593529623145,-122.29489149620832,"['elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
2,Seattle,United States,Nature/Scenery/Park,Evergreen Pathway Adventure,"Evergreen Pathway Adventure is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Evergreen Pathway Adventure, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 18:00-21:00, entry 11.05 USD.",11.05,18:00-21:00,3 hours,3.7,"844 Shibuya Crossing Street, Seattle",47.66535884055786,-122.28668794635728,"['with children', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security']"
3,Seattle,United States,Nature/Scenery/Park,Evergreen Haven,"Evergreen Haven is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Evergreen Haven, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 08:30-17:00, entry 31.52 USD.",31.52,08:30-17:00,3 hours,3.7,"672 Suthep Road, Seattle",47.6876757393533,-122.28552586779746,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
4,Seattle,United States,Nature/Scenery/Park,Evergreen Baywalk,"Evergreen Baywalk is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Evergreen Baywalk, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 08:30-17:30, entry 12.53 USD.",12.53,08:30-17:30,3 hours,3.7,"584 Seifuku Street, Chuo Ward, Seattle",47.63729074255957,-122.33612889514131,"['nightlife enthusiast', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'High speed WiFi']"
5,Seattle,United States,Nature/Scenery/Park,Moonlit Bay Voyage,"Moonlit Bay Voyage is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Moonlit Bay Voyage, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 09:00-17:30, entry 11.76 USD.",11.76,09:00-17:30,3 hours,3.7,"No. 456, Zhongshan Road, Seattle",47.629735107368,-122.28372591417931,"['nightlife enthusiast', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
6,Seattle,United States,Nature/Scenery/Park,Evergreen Hollow Preserve,"Evergreen Hollow Preserve is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Evergreen Hollow Preserve, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 08:30-17:00, entry 3.36 USD.",3.36,08:30-17:00,3 hours,3.7,"388 Sukhumvit Road, Khlong Toei District, Seattle",47.58473185434544,-122.3418917890175,"['couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
7,Seattle,United States,Nature/Scenery/Park,Evergreen Skyline Retreat,"Evergreen Skyline Retreat is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Evergreen Skyline Retreat, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 08:00-20:00, entry 14.4 USD.",14.4,08:00-20:00,3 hours,3.7,"No. 456 Jing'an Temple Road, Seattle",47.674737499377166,-122.39411794252382,"['with children', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
8,Seattle,United States,Nature/Scenery/Park,Evergreen Skyway Adventure Pass,"Evergreen Skyway Adventure Pass is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Evergreen Skyway Adventure Pass, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 08:30-17:30, entry 12.93 USD.",12.93,08:30-17:30,3 hours,3.7,"745 Marina Bay Sands, Seattle",47.69661821911311,-122.3697947315735,"['photography', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
9,Seattle,United States,Nature/Scenery/Park,Evergreen Outlook,"Evergreen Outlook is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Evergreen Outlook, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 09:00-17:30, entry 22.61 USD.",22.61,09:00-17:30,3 hours,3.7,"271 Shimbashi Street, Shibuya Ward, Seattle",47.61750113075367,-122.33845443531068,"['photography', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
10,Seattle,United States,Nature/Scenery/Park,Evergreen Explorers' Grove,"Evergreen Explorers' Grove is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Evergreen Explorers' Grove, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 08:30-17:30, entry 116.65 USD.",116.65,08:30-17:30,3 hours,3.7,"678 Beach Road, Seattle",47.63789377198369,-122.39828980083256,"['solo women', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
11,Seattle,United States,Nature/Scenery/Park,Alaskan Tide Flavors Pavilion,"Alaskan Tide Flavors Pavilion is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Alaskan Tide Flavors Pavilion, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 09:00-21:00, entry 19.18 USD.",19.18,09:00-21:00,3 hours,3.7,"826 Sukhumvit Road, Khlong Toei District, Seattle",47.7128020685872,-122.27300807888282,"['luxury travelers', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'Food markets', 'tasting tours', 'parking']"
12,Seattle,United States,Nature/Scenery/Park,Skyline Wildscape Preserve,"Skyline Wildscape Preserve is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Skyline Wildscape Preserve, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 09:30-17:00, entry 43.59 USD.",43.59,09:30-17:00,3 hours,3.7,"535 Shinsaibashi Dori, Chuo Ward, Seattle",47.72689492254954,-122.360936064152,"['nightlife enthusiast', 'fast-paced budget travel', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations']"
13,Seattle,United States,Nature/Scenery/Park,Evergreen Thermal Haven,"Evergreen Thermal Haven is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Evergreen Thermal Haven, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 08:30-17:00, entry 2.0 USD.",2.0,08:30-17:00,3 hours,3.7,"782 Shibuya Digital Plaza, Shibuya Ward, Seattle",47.63572097212218,-122.3616259033196,"['nightlife enthusiast', 'solo women', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
14,Seattle,United States,Nature/Scenery/Park,Verdant Gazebo Grove,"Verdant Gazebo Grove is a nature in Seattle, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Verdant Gazebo Grove, a peaceful nature in Seattle, United States, ideal for nature lovers. Open 06:00-20:00, entry 29.53 USD.",29.53,06:00-20:00,3 hours,3.7,"727 Shinjuku Park, Shinjuku-ku, Seattle",47.674701232836114,-122.37233540101016,"['solo women', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
