attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Ashgabat,Turkmenistan,Nature/Scenery/Park,Shamiran Green Oasis,"Shamiran Green Oasis is a nature in Ashgabat, Turkmenistan, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Shamiran Green Oasis, a peaceful nature in Ashgabat, Turkmenistan, ideal for nature lovers. Open 08:30-17:00, entry 2.0 USD.",2.0,08:30-17:00,3 hours,3.7,"614 Shimbashi Street, Ashgabat",38.01211761790509,58.31873638913192,"['fast-paced budget travel', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
2,Ashgabat,Turkmenistan,Nature/Scenery/Park,Verdant Veil Botanical Walk,"Verdant Veil Botanical Walk is a nature in Ashgabat, Turkmenistan, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Verdant Veil Botanical Walk, a peaceful nature in Ashgabat, Turkmenistan, ideal for nature lovers. Open 08:30-17:30, entry 37.95 USD.",37.95,08:30-17:30,3 hours,3.7,"861-6789 Nishi 1-chome, Ashgabat",38.04387588463794,58.26642081598504,"['nightlife enthusiast', 'with children', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations']"
3,Ashgabat,Turkmenistan,Nature/Scenery/Park,Verdant Haven Oasis,"Verdant Haven Oasis is a nature in Ashgabat, Turkmenistan, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Verdant Haven Oasis, a peaceful nature in Ashgabat, Turkmenistan, ideal for nature lovers. Open 08:00-22:00, entry 14.4 USD.",14.4,08:00-22:00,3 hours,3.7,"559 Shinsaibashi Street, Chuo Ward, Ashgabat",37.9721501390477,58.1848317981588,"['nightlife enthusiast', 'photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
4,Ashgabat,Turkmenistan,Nature/Scenery/Park,Sandy Bay Walkway,"Sandy Bay Walkway is a nature in Ashgabat, Turkmenistan, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Sandy Bay Walkway, a peaceful nature in Ashgabat, Turkmenistan, ideal for nature lovers. Open 09:00-18:00, entry 11.76 USD.",11.76,09:00-18:00,3 hours,3.7,"359 Sukhumvit Road, Ashgabat",37.89401910392776,58.24275027588733,"['foodie', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
5,Ashgabat,Turkmenistan,Nature/Scenery/Park,Celestial Bay Serenade,"Celestial Bay Serenade is a nature in Ashgabat, Turkmenistan, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Celestial Bay Serenade, a peaceful nature in Ashgabat, Turkmenistan, ideal for nature lovers. Open 19:00-23:00, entry 6.39 USD.",6.39,19:00-23:00,3 hours,3.7,"No. 48, Siming South Road, Ashgabat",37.90985092532359,58.07925729179892,"['nightlife enthusiast', 'fast-paced budget travel', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours']"
6,Ashgabat,Turkmenistan,Nature/Scenery/Park,Verdant Heights Park,"Verdant Heights Park is a nature in Ashgabat, Turkmenistan, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Verdant Heights Park, a peaceful nature in Ashgabat, Turkmenistan, ideal for nature lovers. Open 08:30-17:30, entry 4.87 USD.",4.87,08:30-17:30,3 hours,3.7,"No. 456, Zhongnan Mountain Road, Xianyang District, Ashgabat",37.93539140138874,58.3472062007517,"['foodie', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
7,Ashgabat,Turkmenistan,Nature/Scenery/Park,Verdant Vista Eco Retreat,"Verdant Vista Eco Retreat is a nature in Ashgabat, Turkmenistan, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Verdant Vista Eco Retreat, a peaceful nature in Ashgabat, Turkmenistan, ideal for nature lovers. Open 10:00-22:00, entry 24.24 USD.",24.24,10:00-22:00,3 hours,3.7,"503 Shinjuku River View, Shinjuku, Ashgabat",37.94688769501764,58.04219347071374,"['with children', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
8,Ashgabat,Turkmenistan,Nature/Scenery/Park,Ashgabat Skyline Adventure Pass,"Ashgabat Skyline Adventure Pass is a nature in Ashgabat, Turkmenistan, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Ashgabat Skyline Adventure Pass, a peaceful nature in Ashgabat, Turkmenistan, ideal for nature lovers. Open 08:30-17:00, entry 55.55 USD.",55.55,08:30-17:00,3 hours,3.7,"281-890-1234 Nishi 1-chome, Ashgabat",38.01707572704135,58.27867783761272,"['photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
9,Ashgabat,Turkmenistan,Nature/Scenery/Park,Horizon Vista,"Horizon Vista is a nature in Ashgabat, Turkmenistan, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Horizon Vista, a peaceful nature in Ashgabat, Turkmenistan, ideal for nature lovers. Open 10:00-18:00, entry 4.36 USD.",4.36,10:00-18:00,3 hours,3.7,"909 Suthep Road, Ashgabat",37.98331741193668,58.33123365240142,"['with pets', 'solo women', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations']"
10,Ashgabat,Turkmenistan,Nature/Scenery/Park,Verdant Vortex Playground,"Verdant Vortex Playground is a nature in Ashgabat, Turkmenistan, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Verdant Vortex Playground, a peaceful nature in Ashgabat, Turkmenistan, ideal for nature lovers. Open 09:00-19:00, entry 19.18 USD.",19.18,09:00-19:00,3 hours,3.7,"922 Gwanghwamun Street, Jongno-gu, Ashgabat",37.90058853248976,58.06749667473296,"['with children', 'fast-paced budget travel', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours']"
