attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Kunming,China,Nature/Scenery/Park,Lushan Botanical Haven,"Lushan Botanical Haven is a nature in Kunming, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Lushan Botanical Haven, a peaceful nature in Kunming, China, ideal for nature lovers. Open 08:30-17:00, entry 1.4 USD.",1.4,08:30-17:00,3 hours,3.7,"453 Gwanghwamun Street, Jongno-gu, Kunming",25.38702090518811,103.12901451434348,"['nightlife enthusiast', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
2,Kunming,China,Nature/Scenery/Park,Verdant Veil Trail,"Verdant Veil Trail is a nature in Kunming, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Verdant Veil Trail, a peaceful nature in Kunming, China, ideal for nature lovers. Open 09:00-21:00, entry 7.57 USD.",7.57,09:00-21:00,3 hours,3.7,"No. 456, Xiamen Cultural Street, Kunming",24.548592895252256,103.14238633529447,"['foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
3,Kunming,China,Nature/Scenery/Park,Verdant Heights Sanctuary,"Verdant Heights Sanctuary is a nature in Kunming, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Verdant Heights Sanctuary, a peaceful nature in Kunming, China, ideal for nature lovers. Open 09:00-17:00, entry 17.5 USD.",17.5,09:00-17:00,3 hours,3.7,"354/49 Moo 5, Khlong Luang Road, Khlong Luang, Kunming",25.473447094471684,103.19024165186909,"['nightlife enthusiast', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
4,Kunming,China,Nature/Scenery/Park,Cloud Forest Pathways,"Cloud Forest Pathways is a nature in Kunming, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Cloud Forest Pathways, a peaceful nature in Kunming, China, ideal for nature lovers. Open 08:00-18:00, entry 10.5 USD.",10.5,08:00-18:00,3 hours,3.7,"No. 456, Cultural Square, Beilin District, Kunming",26.26651347278793,102.48209618798104,"['luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
5,Kunming,China,Nature/Scenery/Park,Lunar Bloom River Cruise,"Lunar Bloom River Cruise is a nature in Kunming, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Lunar Bloom River Cruise, a peaceful nature in Kunming, China, ideal for nature lovers. Open 09:00-17:30, entry 4.87 USD.",4.87,09:00-17:30,3 hours,3.7,"No. 128 Wukang Road, Kunming",24.95981798858569,102.58644480200128,"['fast-paced budget travel', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
6,Kunming,China,Nature/Scenery/Park,Verdant Hollow Reserve,"Verdant Hollow Reserve is a nature in Kunming, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Verdant Hollow Reserve, a peaceful nature in Kunming, China, ideal for nature lovers. Open 08:00-22:00, entry 3.36 USD.",3.36,08:00-22:00,3 hours,3.7,"864 Sairee Road, Kunming",25.733237986393497,103.24077167015275,"['solo women', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Kunming,China,Nature/Scenery/Park,Verdant Heights Japanese Garden,"Verdant Heights Japanese Garden is a nature in Kunming, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Verdant Heights Japanese Garden, a peaceful nature in Kunming, China, ideal for nature lovers. Open 08:00-20:00, entry 55.55 USD.",55.55,08:00-20:00,3 hours,3.7,"624 Thomson Road, Kunming",24.561651542837005,102.3746267429932,"['foodie', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
8,Kunming,China,Nature/Scenery/Park,Cloud Valley Explorer Pass + Stone Forest Skywalk Round Trip,"Cloud Valley Explorer Pass + Stone Forest Skywalk Round Trip is a nature in Kunming, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Cloud Valley Explorer Pass + Stone Forest Skywalk Round Trip, a peaceful nature in Kunming, China, ideal for nature lovers. Open 09:30-17:00, entry 4.36 USD.",4.36,09:30-17:00,3 hours,3.7,"185 Sakura Street, Naka-ku, Kunming",25.179295828345342,102.91843818798634,"['with children', 'fast-paced budget travel', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Kunming,China,Nature/Scenery/Park,Cloudscape Haven,"Cloudscape Haven is a nature in Kunming, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Cloudscape Haven, a peaceful nature in Kunming, China, ideal for nature lovers. Open 08:30-17:30, entry 43.59 USD.",43.59,08:30-17:30,3 hours,3.7,"608-8543, 3-12-13 Asakusa, Taito City, Kunming",26.044052367261564,102.94403394547554,"['solo women', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
10,Kunming,China,Nature/Scenery/Park,Verdant Quest Playground,"Verdant Quest Playground is a nature in Kunming, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Verdant Quest Playground, a peaceful nature in Kunming, China, ideal for nature lovers. Open 08:30-17:30, entry 19.18 USD.",19.18,08:30-17:30,3 hours,3.7,"436 Nai Harn Road, Kunming",25.9716934025668,102.95592539381629,"['nightlife enthusiast', 'with children', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'group tours', 'security']"
