attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,San Francisco,United States,Nature/Scenery/Park,Marinwood Nature Reserve,"Marinwood Nature Reserve is a nature in San Francisco, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Marinwood Nature Reserve, a peaceful nature in San Francisco, United States, ideal for nature lovers. Open 09:00-18:00, entry 31.52 USD.",31.52,09:00-18:00,3 hours,3.7,"509 Seaside Avenue, San Francisco",37.7832196219377,-122.46847734448744,"['elderly travelers', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
2,San Francisco,United States,Nature/Scenery/Park,Bayleaf Trail Discovery,"Bayleaf Trail Discovery is a nature in San Francisco, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Bayleaf Trail Discovery, a peaceful nature in San Francisco, United States, ideal for nature lovers. Open 08:00-19:00, entry 24.24 USD.",24.24,08:00-19:00,3 hours,3.7,"919-789 Shuri Street, San Francisco",37.75403377143899,-122.47350605995852,"['couples trip', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
3,San Francisco,United States,Nature/Scenery/Park,Mistwood Haven,"Mistwood Haven is a nature in San Francisco, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Mistwood Haven, a peaceful nature in San Francisco, United States, ideal for nature lovers. Open 08:30-17:00, entry 14.98 USD.",14.98,08:30-17:00,3 hours,3.7,"783 Sukhumvit Road, San Francisco",37.77763668093354,-122.42263894187444,"['solo women', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
4,San Francisco,United States,Nature/Scenery/Park,Bayshore Trailhead,"Bayshore Trailhead is a nature in San Francisco, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Bayshore Trailhead, a peaceful nature in San Francisco, United States, ideal for nature lovers. Open 08:30-19:00, entry 6.39 USD.",6.39,08:30-19:00,3 hours,3.7,"No. 456, Jing'an Road, San Francisco",37.74019549014265,-122.45403044688558,"['with children', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
5,San Francisco,United States,Nature/Scenery/Park,Moonlit Bay Voyage,"Moonlit Bay Voyage is a nature in San Francisco, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Moonlit Bay Voyage, a peaceful nature in San Francisco, United States, ideal for nature lovers. Open 08:30-17:30, entry 6.72 USD.",6.72,08:30-17:30,3 hours,3.7,"156 Victoria Harbour Road, San Francisco",37.719793117737645,-122.44608193435394,"['with pets', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
6,San Francisco,United States,Nature/Scenery/Park,Cloudspire Valley Preserve,"Cloudspire Valley Preserve is a nature in San Francisco, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Cloudspire Valley Preserve, a peaceful nature in San Francisco, United States, ideal for nature lovers. Open 08:30-17:30, entry 8.12 USD.",8.12,08:30-17:30,3 hours,3.7,"982 Seaside Promenade, San Francisco",37.72011994623207,-122.3731516492914,"['foodie', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,San Francisco,United States,Nature/Scenery/Park,Verdant Peak Culinary Vista,"Verdant Peak Culinary Vista is a nature in San Francisco, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Verdant Peak Culinary Vista, a peaceful nature in San Francisco, United States, ideal for nature lovers. Open 09:00-17:30, entry 26.32 USD.",26.32,09:00-17:30,3 hours,3.7,"254 Shibuya Crossing Street, Shibuya Ward, San Francisco",37.7847264176142,-122.38397480883036,"['foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,San Francisco,United States,Nature/Scenery/Park,Bayview Skyline Express + Lands End Summit Cable Pass + Cliffside Orchid Trail,"Bayview Skyline Express + Lands End Summit Cable Pass + Cliffside Orchid Trail is a nature in San Francisco, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Bayview Skyline Express + Lands End Summit Cable Pass + Cliffside Orchid Trail, a peaceful nature in San Francisco, United States, ideal for nature lovers. Open 08:00-20:00, entry 1.4 USD.",1.4,08:00-20:00,3 hours,3.7,"121 Gwanghwamun-ro, Jongno-gu, San Francisco",37.72522175370855,-122.4475712119915,"['nightlife enthusiast', 'fast-paced budget travel', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'parking']"
9,San Francisco,United States,Nature/Scenery/Park,Skyline Vista Point,"Skyline Vista Point is a nature in San Francisco, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Skyline Vista Point, a peaceful nature in San Francisco, United States, ideal for nature lovers. Open 09:00-17:30, entry 33.27 USD.",33.27,09:00-17:30,3 hours,3.7,"166 Sukhumvit Road, Khlong Toei District, San Francisco",37.71470193528337,-122.49824145662647,"['with children', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events']"
10,San Francisco,United States,Nature/Scenery/Park,Greenhaven Explorers' Grove,"Greenhaven Explorers' Grove is a nature in San Francisco, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Greenhaven Explorers' Grove, a peaceful nature in San Francisco, United States, ideal for nature lovers. Open 09:00-17:00, entry 13.95 USD.",13.95,09:00-17:00,3 hours,3.7,"376 Seaside Promenade, San Francisco",37.77689925814678,-122.42933712631532,"['with children', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas', 'parking']"
