attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Cincinnati,United States,Nature/Scenery/Park,Redbank Nature Preserve,"Redbank Nature Preserve is a nature in Cincinnati, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Redbank Nature Preserve, a peaceful nature in Cincinnati, United States, ideal for nature lovers. Open 09:00-17:30, entry 3.36 USD.",3.36,09:00-17:30,3 hours,3.7,"903/2 Rachadaphisek Road, Cincinnati",39.11979734077601,-84.56635296623755,"['solo women', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Cincinnati,United States,Nature/Scenery/Park,Over-the-Rhine Greenway Trek,"Over-the-Rhine Greenway Trek is a nature in Cincinnati, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Over-the-Rhine Greenway Trek, a peaceful nature in Cincinnati, United States, ideal for nature lovers. Open 09:00-17:30, entry 2.8 USD.",2.8,09:00-17:30,3 hours,3.7,"No. 456, West Lake Scenic Area, Cincinnati",39.13614121583316,-84.4151022453828,"['couples trip', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas', 'parking']"
3,Cincinnati,United States,Nature/Scenery/Park,Evergreen Hollow Sanctuary,"Evergreen Hollow Sanctuary is a nature in Cincinnati, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Evergreen Hollow Sanctuary, a peaceful nature in Cincinnati, United States, ideal for nature lovers. Open 09:00-21:00, entry 43.59 USD.",43.59,09:00-21:00,3 hours,3.7,"No. 456 Riverside Lane, Cincinnati",39.17198166320813,-84.57156361997217,"['nightlife enthusiast', 'with children', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
4,Cincinnati,United States,Nature/Scenery/Park,Cincinnati Riverwalk Oasis,"Cincinnati Riverwalk Oasis is a nature in Cincinnati, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Cincinnati Riverwalk Oasis, a peaceful nature in Cincinnati, United States, ideal for nature lovers. Open 08:00-19:00, entry 9.8 USD.",9.8,08:00-19:00,3 hours,3.7,"No. 567, Xingqing West Road, Cincinnati",39.11509262098709,-84.58803547396217,"['nightlife enthusiast', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'High speed WiFi']"
5,Cincinnati,United States,Nature/Scenery/Park,Riverlight Canopy Tour,"Riverlight Canopy Tour is a nature in Cincinnati, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Riverlight Canopy Tour, a peaceful nature in Cincinnati, United States, ideal for nature lovers. Open 09:00-18:00, entry 7.35 USD.",7.35,09:00-18:00,3 hours,3.7,"105 Maha Chai Road, Samran Rat, Cincinnati",39.13219873890685,-84.45387575617666,"['nightlife enthusiast', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
6,Cincinnati,United States,Nature/Scenery/Park,Cedar Hollow Vista,"Cedar Hollow Vista is a nature in Cincinnati, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Cedar Hollow Vista, a peaceful nature in Cincinnati, United States, ideal for nature lovers. Open 08:30-18:00, entry 2059.2 USD.",2059.2,08:30-18:00,3 hours,3.7,"No. 456, West Lake Scenic Area, Cincinnati",39.08573933022826,-84.39450589560498,"['fast-paced budget travel', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
7,Cincinnati,United States,Nature/Scenery/Park,Evergreen Ridge Culinary Trail,"Evergreen Ridge Culinary Trail is a nature in Cincinnati, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Evergreen Ridge Culinary Trail, a peaceful nature in Cincinnati, United States, ideal for nature lovers. Open 08:00-20:00, entry 11.05 USD.",11.05,08:00-20:00,3 hours,3.7,"721 Shinsaibashi Dogenzaka, Cincinnati",39.10994985851991,-84.42905366928417,"['nightlife enthusiast', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,Cincinnati,United States,Nature/Scenery/Park,Redbank Ridge Adventure Pass,"Redbank Ridge Adventure Pass is a nature in Cincinnati, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Redbank Ridge Adventure Pass, a peaceful nature in Cincinnati, United States, ideal for nature lovers. Open 08:00-20:00, entry 294.64 USD.",294.64,08:00-20:00,3 hours,3.7,"809 Gwangsimni-ro, Gwangsimni-gu, Cincinnati",39.17731280319171,-84.48540044989004,"['with children', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'High speed WiFi']"
9,Cincinnati,United States,Nature/Scenery/Park,Skyline Vista Point,"Skyline Vista Point is a nature in Cincinnati, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Skyline Vista Point, a peaceful nature in Cincinnati, United States, ideal for nature lovers. Open 09:00-18:00, entry 29.53 USD.",29.53,09:00-18:00,3 hours,3.7,"691 Sairee Road, Cincinnati",39.09834485507251,-84.52446618664938,['solo women'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security']"
10,Cincinnati,United States,Nature/Scenery/Park,Ridgeview Explorers' Grove,"Ridgeview Explorers' Grove is a nature in Cincinnati, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Ridgeview Explorers' Grove, a peaceful nature in Cincinnati, United States, ideal for nature lovers. Open 08:30-17:30, entry 116.65 USD.",116.65,08:30-17:30,3 hours,3.7,"291 Shimbashi Street, Shinjuku Ward, Cincinnati",39.15194483335952,-84.52131282566671,"['fast-paced budget travel', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'High speed WiFi']"
