attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Billund,Denmark,Nature/Scenery/Park,Lundskov Forest Reserve,"Lundskov Forest Reserve is a nature in Billund, Denmark, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Lundskov Forest Reserve, a peaceful nature in Billund, Denmark, ideal for nature lovers. Open 09:00-17:30, entry 11.76 USD.",11.76,09:00-17:30,3 hours,3.7,"379 Shimbashi-dori, Chuo-ku, Billund",55.8890257014483,8.900780197981184,['business travelers'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi']"
2,Billund,Denmark,Nature/Scenery/Park,Greenway Forest Adventure,"Greenway Forest Adventure is a nature in Billund, Denmark, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Greenway Forest Adventure, a peaceful nature in Billund, Denmark, ideal for nature lovers. Open 08:00-19:00, entry 12.93 USD.",12.93,08:00-19:00,3 hours,3.7,"113 Emerald Crescent, Billund",55.7070863205013,8.886450845807566,"['fast-paced budget travel', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences']"
3,Billund,Denmark,Nature/Scenery/Park,Elderglen Sanctuary,"Elderglen Sanctuary is a nature in Billund, Denmark, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Elderglen Sanctuary, a peaceful nature in Billund, Denmark, ideal for nature lovers. Open 09:00-17:30, entry 12.32 USD.",12.32,09:00-17:30,3 hours,3.7,"166 Outram Road, Billund",55.71614837287192,8.995358910890086,"['fast-paced budget travel', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
4,Billund,Denmark,Nature/Scenery/Park,Lundscreek Adventure Trail,"Lundscreek Adventure Trail is a nature in Billund, Denmark, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Lundscreek Adventure Trail, a peaceful nature in Billund, Denmark, ideal for nature lovers. Open 09:00-17:30, entry 26.32 USD.",26.32,09:00-17:30,3 hours,3.7,"700 Orchard Road, Billund",55.70209470312974,9.11651008205222,"['with pets', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
5,Billund,Denmark,Nature/Scenery/Park,Luminous Bay Adventure,"Luminous Bay Adventure is a nature in Billund, Denmark, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Luminous Bay Adventure, a peaceful nature in Billund, Denmark, ideal for nature lovers. Open 09:00-17:30, entry 13.3 USD.",13.3,09:00-17:30,3 hours,3.7,"256 Harbour Road, Billund",55.63960124480869,9.134749292370158,"['elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'parking']"
6,Billund,Denmark,Nature/Scenery/Park,Evergreen Hollow Reserve,"Evergreen Hollow Reserve is a nature in Billund, Denmark, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Evergreen Hollow Reserve, a peaceful nature in Billund, Denmark, ideal for nature lovers. Open 09:00-17:00, entry 5.6 USD.",5.6,09:00-17:00,3 hours,3.7,"992 Sakura Street, Naka Ward, Billund",55.78582817809297,9.044313977260996,"['nightlife enthusiast', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
7,Billund,Denmark,Nature/Scenery/Park,GreenPeak Explorer Resort,"GreenPeak Explorer Resort is a nature in Billund, Denmark, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover GreenPeak Explorer Resort, a peaceful nature in Billund, Denmark, ideal for nature lovers. Open 06:00-20:00, entry 6.39 USD.",6.39,06:00-20:00,3 hours,3.7,"712 Seaside Promenade, Billund",55.882082795466864,8.91884360051571,"['business travelers', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
8,Billund,Denmark,Nature/Scenery/Park,Løgstør Skyline Adventure Pass,"Løgstør Skyline Adventure Pass is a nature in Billund, Denmark, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Løgstør Skyline Adventure Pass, a peaceful nature in Billund, Denmark, ideal for nature lovers. Open 10:00-22:00, entry 37.95 USD.",37.95,10:00-22:00,3 hours,3.7,"276 Shima Street, Billund",55.84023670932972,8.825420452319994,"['couples trip', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
9,Billund,Denmark,Nature/Scenery/Park,Horizon Haven,"Horizon Haven is a nature in Billund, Denmark, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Horizon Haven, a peaceful nature in Billund, Denmark, ideal for nature lovers. Open 08:30-17:30, entry 51.08 USD.",51.08,08:30-17:30,3 hours,3.7,"381 Sukhumvit Road, Billund",55.87115062481736,8.900067122394933,"['couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
10,Billund,Denmark,Nature/Scenery/Park,Verdant Quest Playground,"Verdant Quest Playground is a nature in Billund, Denmark, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Verdant Quest Playground, a peaceful nature in Billund, Denmark, ideal for nature lovers. Open 09:00-17:30, entry 1.4 USD.",1.4,09:00-17:30,3 hours,3.7,"473-1 Kita-Honganji-machi, Chuo Ward, Billund",55.77221746400646,8.836070961822859,"['with children', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
