attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,San Bartolomé,Spain,Nature/Scenery/Park,Valle del Silencio Nature Reserve,"Valle del Silencio Nature Reserve is a nature in San Bartolomé, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Valle del Silencio Nature Reserve, a peaceful nature in San Bartolomé, Spain, ideal for nature lovers. Open 09:00-17:30, entry 14.98 USD.",14.98,09:00-17:30,3 hours,3.7,"939 Sakura-dori, San Bartolomé",29.000988456301645,-13.632479653952126,"['with children', 'solo women', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,San Bartolomé,Spain,Nature/Scenery/Park,Verdant Valley Trek,"Verdant Valley Trek is a nature in San Bartolomé, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Verdant Valley Trek, a peaceful nature in San Bartolomé, Spain, ideal for nature lovers. Open 08:30-17:30, entry 13.95 USD.",13.95,08:30-17:30,3 hours,3.7,"788 Suthep Road, San Bartolomé",29.02321851753436,-13.641262678664368,['business travelers'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi']"
3,San Bartolomé,Spain,Nature/Scenery/Park,Crestwood Haven,"Crestwood Haven is a nature in San Bartolomé, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Crestwood Haven, a peaceful nature in San Bartolomé, Spain, ideal for nature lovers. Open 08:30-17:30, entry 22.61 USD.",22.61,08:30-17:30,3 hours,3.7,"884 Sukhumvit Road, San Bartolomé",28.97062497360499,-13.619417388251293,"['nightlife enthusiast', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
4,San Bartolomé,Spain,Nature/Scenery/Park,Canyons of the Silver Tide,"Canyons of the Silver Tide is a nature in San Bartolomé, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Canyons of the Silver Tide, a peaceful nature in San Bartolomé, Spain, ideal for nature lovers. Open 08:00-18:00, entry 4.36 USD.",4.36,08:00-18:00,3 hours,3.7,"135-8521, 3-11-18 Nishi-Shinjuku, Shinjuku City, San Bartolomé",28.99384369817102,-13.617776246088264,['fast-paced budget travel'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours']"
5,San Bartolomé,Spain,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in San Bartolomé, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in San Bartolomé, Spain, ideal for nature lovers. Open 08:30-17:00, entry 29.53 USD.",29.53,08:30-17:00,3 hours,3.7,"No. 456, Jing'an Temple Road, San Bartolomé",28.972781360531503,-13.5884804926804,['disabled traveler'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
6,San Bartolomé,Spain,Nature/Scenery/Park,Cima Verde Natural Reserve,"Cima Verde Natural Reserve is a nature in San Bartolomé, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Cima Verde Natural Reserve, a peaceful nature in San Bartolomé, Spain, ideal for nature lovers. Open 08:00-22:00, entry 15.4 USD.",15.4,08:00-22:00,3 hours,3.7,"734 Sakura Street, Namba Ward, San Bartolomé",29.00262264582289,-13.616592632808077,"['with children', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security']"
7,San Bartolomé,Spain,Nature/Scenery/Park,Verdant Peak Eats,"Verdant Peak Eats is a nature in San Bartolomé, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Verdant Peak Eats, a peaceful nature in San Bartolomé, Spain, ideal for nature lovers. Open 09:30-17:00, entry 20.74 USD.",20.74,09:30-17:00,3 hours,3.7,"797 Sathorn Road, Wat Phra Singh, San Bartolomé",29.0090197204938,-13.625800052729543,"['fast-paced budget travel', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
8,San Bartolomé,Spain,Nature/Scenery/Park,Valle del Sol Scenic Express + Cerro Mirador Sky Lift Ticket + Mirador del Sol Viewpoint,"Valle del Sol Scenic Express + Cerro Mirador Sky Lift Ticket + Mirador del Sol Viewpoint is a nature in San Bartolomé, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Valle del Sol Scenic Express + Cerro Mirador Sky Lift Ticket + Mirador del Sol Viewpoint, a peaceful nature in San Bartolomé, Spain, ideal for nature lovers. Open 08:30-17:00, entry 51.08 USD.",51.08,08:30-17:00,3 hours,3.7,"No. 456, Olympic Park Road, San Bartolomé",28.970030773037923,-13.61289592872468,"['foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'High speed WiFi']"
9,San Bartolomé,Spain,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in San Bartolomé, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in San Bartolomé, Spain, ideal for nature lovers. Open 19:00-23:00, entry 13.3 USD.",13.3,19:00-23:00,3 hours,3.7,"No. 128, Xingqing West Road, San Bartolomé",28.99611769185304,-13.602963963009456,"['with children', 'fast-paced budget travel', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'High speed WiFi']"
10,San Bartolomé,Spain,Nature/Scenery/Park,Verdant Vibe Playground,"Verdant Vibe Playground is a nature in San Bartolomé, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Verdant Vibe Playground, a peaceful nature in San Bartolomé, Spain, ideal for nature lovers. Open 18:00-21:00, entry 8.12 USD.",8.12,18:00-21:00,3 hours,3.7,"No. 125, Huaqing Road, San Bartolomé",28.950916910828987,-13.609296875257254,"['elderly travelers', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
