attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Palermo,Italy,Nature/Scenery/Park,Mediterranean Wild Haven,"Mediterranean Wild Haven is a nature in Palermo, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Mediterranean Wild Haven, a peaceful nature in Palermo, Italy, ideal for nature lovers. Open 08:30-17:00, entry 1.4 USD.",1.4,08:30-17:00,3 hours,3.7,"180 Suthep Road, Palermo",38.06778207467429,13.347355782860634,"['fast-paced budget travel', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Palermo,Italy,Nature/Scenery/Park,Mediterranean Grove Walk,"Mediterranean Grove Walk is a nature in Palermo, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Mediterranean Grove Walk, a peaceful nature in Palermo, Italy, ideal for nature lovers. Open 09:00-17:00, entry 19.18 USD.",19.18,09:00-17:00,3 hours,3.7,"982 Seaside Promenade, Palermo",38.17717694855321,13.28533882953173,['foodie'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours']"
3,Palermo,Italy,Nature/Scenery/Park,Crimson Valley Sanctuary,"Crimson Valley Sanctuary is a nature in Palermo, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Crimson Valley Sanctuary, a peaceful nature in Palermo, Italy, ideal for nature lovers. Open 09:00-17:00, entry 4.36 USD.",4.36,09:00-17:00,3 hours,3.7,"No. 456, West Lake Scenic Road, Palermo",38.15935825772383,13.302167179534896,"['photography', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
4,Palermo,Italy,Nature/Scenery/Park,Mare Sicilianum Trail,"Mare Sicilianum Trail is a nature in Palermo, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Mare Sicilianum Trail, a peaceful nature in Palermo, Italy, ideal for nature lovers. Open 09:30-17:00, entry 10.5 USD.",10.5,09:30-17:00,3 hours,3.7,"125 Nathan Road, Palermo",38.1789219457277,13.29969440979122,"['nightlife enthusiast', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Palermo,Italy,Nature/Scenery/Park,Azure Bay Twilight Tour,"Azure Bay Twilight Tour is a nature in Palermo, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Azure Bay Twilight Tour, a peaceful nature in Palermo, Italy, ideal for nature lovers. Open 08:00-20:00, entry 55.55 USD.",55.55,08:00-20:00,3 hours,3.7,"188 Queen's Road East, Palermo",38.11924187658148,13.342400504833074,"['solo women', 'business travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'High speed WiFi', 'parking']"
6,Palermo,Italy,Nature/Scenery/Park,Crimson Ridge Sanctuary,"Crimson Ridge Sanctuary is a nature in Palermo, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Crimson Ridge Sanctuary, a peaceful nature in Palermo, Italy, ideal for nature lovers. Open 08:30-17:00, entry 43.59 USD.",43.59,08:30-17:00,3 hours,3.7,"690 Shibuya Street, Palermo",38.18488232192706,13.337183690931033,"['with children', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events']"
7,Palermo,Italy,Nature/Scenery/Park,Sicilian Skywalk & Garden Bistro,"Sicilian Skywalk & Garden Bistro is a nature in Palermo, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Sicilian Skywalk & Garden Bistro, a peaceful nature in Palermo, Italy, ideal for nature lovers. Open 08:00-17:30, entry 5.15 USD.",5.15,08:00-17:30,3 hours,3.7,"863 Seongsan Road, Palermo",38.16172999168629,13.2921464881396,['road trip'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking']"
8,Palermo,Italy,Nature/Scenery/Park,Marettimo Coastal Path and Scenic Cableway,"Marettimo Coastal Path and Scenic Cableway is a nature in Palermo, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Marettimo Coastal Path and Scenic Cableway, a peaceful nature in Palermo, Italy, ideal for nature lovers. Open 09:00-17:30, entry 15.4 USD.",15.4,09:00-17:30,3 hours,3.7,"663 Suthep Road, Palermo",38.09856609936134,13.38212605020575,"['solo women', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
9,Palermo,Italy,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Palermo, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Palermo, Italy, ideal for nature lovers. Open 09:30-17:00, entry 12.53 USD.",12.53,09:30-17:00,3 hours,3.7,"327 Suthep Road, Palermo",38.09199779711362,13.380879683848187,"['with children', 'with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
10,Palermo,Italy,Nature/Scenery/Park,VerdeVelo Adventure Grove,"VerdeVelo Adventure Grove is a nature in Palermo, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover VerdeVelo Adventure Grove, a peaceful nature in Palermo, Italy, ideal for nature lovers. Open 08:30-17:30, entry 8.65 USD.",8.65,08:30-17:30,3 hours,3.7,"997 Seaside Promenade, Palermo",38.08269011552824,13.424735094946133,"['fast-paced budget travel', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations']"
