attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Vilnius,Lithuania,Nature/Scenery/Park,Vilnius Green Haven,"Vilnius Green Haven is a nature in Vilnius, Lithuania, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Vilnius Green Haven, a peaceful nature in Vilnius, Lithuania, ideal for nature lovers. Open 08:00-22:00, entry 2.8 USD.",2.8,08:00-22:00,3 hours,3.7,"No. 456 Riverside Lane, Vilnius",54.67311681368433,25.35640896185575,"['with children', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Vilnius,Lithuania,Nature/Scenery/Park,Forest Pathway Discovery Trail,"Forest Pathway Discovery Trail is a nature in Vilnius, Lithuania, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Forest Pathway Discovery Trail, a peaceful nature in Vilnius, Lithuania, ideal for nature lovers. Open 09:00-17:30, entry 11.05 USD.",11.05,09:00-17:30,3 hours,3.7,"795 Thaweewong Road, Vilnius",54.8034896370112,25.358070816208148,"['fast-paced budget travel', 'photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
3,Vilnius,Lithuania,Nature/Scenery/Park,Vilnius Green Haven No.2,"Vilnius Green Haven is a nature in Vilnius, Lithuania, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Vilnius Green Haven, a peaceful nature in Vilnius, Lithuania, ideal for nature lovers. Open 09:00-18:00, entry 294.64 USD.",294.64,09:00-18:00,3 hours,3.7,"588 Seopjeong-ro, Vilnius",54.67093474963859,25.18218669817392,"['elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'parking']"
4,Vilnius,Lithuania,Nature/Scenery/Park,Vilnius Riverside Walkway,"Vilnius Riverside Walkway is a nature in Vilnius, Lithuania, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Vilnius Riverside Walkway, a peaceful nature in Vilnius, Lithuania, ideal for nature lovers. Open 09:00-17:30, entry 55.55 USD.",55.55,09:00-17:30,3 hours,3.7,"No. 128, Tianhe Road, Tianhe District, Vilnius",54.67731095337103,25.28110722231253,"['nightlife enthusiast', 'fast-paced budget travel', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas']"
5,Vilnius,Lithuania,Nature/Scenery/Park,Luminous River Walk,"Luminous River Walk is a nature in Vilnius, Lithuania, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Luminous River Walk, a peaceful nature in Vilnius, Lithuania, ideal for nature lovers. Open 08:30-17:00, entry 10.5 USD.",10.5,08:30-17:00,3 hours,3.7,"879 Jurong East Ave 6, Vilnius",54.79659491276236,25.35477187725056,"['photography', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
6,Vilnius,Lithuania,Nature/Scenery/Park,Vilnius Hilltop Reserve,"Vilnius Hilltop Reserve is a nature in Vilnius, Lithuania, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Vilnius Hilltop Reserve, a peaceful nature in Vilnius, Lithuania, ideal for nature lovers. Open 09:00-19:00, entry 12.32 USD.",12.32,09:00-19:00,3 hours,3.7,"No. 456 Cultural Avenue, Vilnius",54.76305666596701,25.36905307488024,"['nightlife enthusiast', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
7,Vilnius,Lithuania,Nature/Scenery/Park,Greenwood Heights Eatscape,"Greenwood Heights Eatscape is a nature in Vilnius, Lithuania, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Greenwood Heights Eatscape, a peaceful nature in Vilnius, Lithuania, ideal for nature lovers. Open 08:30-17:00, entry 4.36 USD.",4.36,08:30-17:00,3 hours,3.7,"158 Tai Po Road, Vilnius",54.72978199503128,25.33062579427688,['fast-paced budget travel'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours']"
8,Vilnius,Lithuania,Nature/Scenery/Park,Vilnius Green Pass + Šventoji Hill Cable Car + Žemaitijos Park,"Vilnius Green Pass + Šventoji Hill Cable Car + Žemaitijos Park is a nature in Vilnius, Lithuania, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Vilnius Green Pass + Šventoji Hill Cable Car + Žemaitijos Park, a peaceful nature in Vilnius, Lithuania, ideal for nature lovers. Open 08:00-20:00, entry 2.0 USD.",2.0,08:00-20:00,3 hours,3.7,"No. 333 Tianhe Road, Vilnius",54.60512192800832,25.31433730276574,"['fast-paced budget travel', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'High speed WiFi']"
9,Vilnius,Lithuania,Nature/Scenery/Park,Horizon Haven,"Horizon Haven is a nature in Vilnius, Lithuania, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Horizon Haven, a peaceful nature in Vilnius, Lithuania, ideal for nature lovers. Open 09:00-17:00, entry 8.12 USD.",8.12,09:00-17:00,3 hours,3.7,"598 Sakura Street, Chuo-ku, Vilnius",54.63805092690176,25.15051660887548,"['solo women', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'parking']"
10,Vilnius,Lithuania,Nature/Scenery/Park,Woodland Wonders Playground,"Woodland Wonders Playground is a nature in Vilnius, Lithuania, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Woodland Wonders Playground, a peaceful nature in Vilnius, Lithuania, ideal for nature lovers. Open 10:00-22:00, entry 7.57 USD.",7.57,10:00-22:00,3 hours,3.7,"No. 456, Green Valley Road, Vilnius",54.63762974528437,25.14738925471781,"['couples trip', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
