attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Hangzhou,West Lake Scenic Resort,"No. 456, Xuehua Road, Xihu District",120.153303,30.310586,08:00-17:30,21.7,"West Lake Scenic Resort is a nature in Hangzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 21.7 USD. Recommended visit: 3 hours. Discover West Lake Scenic Resort, a peaceful nature in Hangzhou, China, ideal for nature lovers. Open 08:00-17:30, entry 21.7 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'couples trip', 'Luxury Travelers']",China
2,Hangzhou,Hangzhou Song Dynasty Park,"No. 456, West Lake Cultural Avenue, Xihu District",119.98498,30.031898,08:30-17:30,9.73,"Hangzhou Song Dynasty Park is a historic site in Hangzhou, China, popular for its memorable experiences. Entry fee is 9.73 USD. Recommended visit: 2 hours. Discover Hangzhou Song Dynasty Park, a notable historic site in Hangzhou, China, ideal for visitors. Open 08:30-17:30, entry 9.73 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Elderly Travelers', 'Disabled Travelers', 'couples trip', 'Photography']",China
3,Hangzhou,West Lake Boat Tours,"No. 456, Xuehua Road, Hangzhou",120.144262,30.375354,08:30-17:30,10.5,"West Lake Boat Tours is a nature in Hangzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover West Lake Boat Tours, a peaceful nature in Hangzhou, China, ideal for nature lovers. Open 08:30-17:30, entry 10.5 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'group tours', 'security', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Elderly Travelers', 'Nightlife Enthusiast', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'Solo Woman Travelers']",China
4,Hangzhou,Lingyin Flying Peak Cultural Park,"No. 456, West Lake Cultural Street, Xihu District",120.226677,30.406937,08:30-17:00,24.92,"Lingyin Flying Peak Cultural Park is a historic site in Hangzhou, China, popular for its memorable experiences. Entry fee is 24.92 USD. Recommended visit: 2 hours. Discover Lingyin Flying Peak Cultural Park, a notable historic site in Hangzhou, China, ideal for visitors. Open 08:30-17:00, entry 24.92 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Road trip', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'couples trip', 'Photography']",China
5,Hangzhou,Qian Dao Lake Scenic Spot,"No. 456, West Lake Road, Xihu District, Hangzhou",120.098804,30.067281,08:30-17:00,25.9,"Qian Dao Lake Scenic Spot is a nature in Hangzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 25.9 USD. Recommended visit: 3 hours. Discover Qian Dao Lake Scenic Spot, a peaceful nature in Hangzhou, China, ideal for nature lovers. Open 08:30-17:00, entry 25.9 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'night markets', 'bars', 'evening shows', 'family restrooms', 'nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Elderly Travelers', 'Nightlife Enthusiast', 'Disabled Travelers', 'Luxury Travelers']",China
6,Hangzhou,Lingyin Temple Complex,"No. 128, Lingyin Road, Xihu District, Hangzhou",120.259784,30.040576,08:00-17:30,1.4,"Lingyin Temple Complex is a historic site in Hangzhou, China, popular for its memorable experiences. Entry fee is 1.4 USD. Recommended visit: 2 hours. Discover Lingyin Temple Complex, a notable historic site in Hangzhou, China, ideal for visitors. Open 08:00-17:30, entry 1.4 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences']",Historic Site/Landmark,2 hours,3.5,"['Pet Owners', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'couples trip', 'Luxury Travelers', 'foodie']",China
7,Hangzhou,West Lake Wetland Park,"No. 888, Xixi Road, Xihu District",120.262003,30.233345,08:00-17:30,25.2,"West Lake Wetland Park is a nature in Hangzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 25.2 USD. Recommended visit: 3 hours. Discover West Lake Wetland Park, a peaceful nature in Hangzhou, China, ideal for nature lovers. Open 08:00-17:30, entry 25.2 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'night markets', 'bars', 'evening shows', 'parking', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Elderly Travelers', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'Luxury Travelers']",China
8,Hangzhou,Chuiyun Tongtian River,"No. 456, Xueyuan Road, Xihu District, Hangzhou",120.288149,30.457132,08:30-17:00,1.4,"Chuiyun Tongtian River is a nature in Hangzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Chuiyun Tongtian River, a peaceful nature in Hangzhou, China, ideal for nature lovers. Open 08:30-17:00, entry 1.4 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations']",Nature/Scenery/Park,3 hours,3.7,"['Pet Owners', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'Luxury Travelers', 'foodie', 'Photography']",China
9,Hangzhou,OMG Heartbeat Adventure Park,"No. 456 Green Valley Road, Xihu District",120.106072,30.053819,09:00-18:00,41.86,"OMG Heartbeat Adventure Park is a theme park in Hangzhou, China, popular for its memorable experiences. Entry fee is 41.86 USD. Recommended visit: 8 hours. Discover OMG Heartbeat Adventure Park, a notable theme park in Hangzhou, China, ideal for visitors. Open 09:00-18:00, entry 41.86 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'family restrooms', 'nursing facilities', 'parking', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,8 hours,3.75,"['Family with children', 'Road trip', 'Elderly Travelers', 'Pet Owners', 'Fast-Paced Budget Travel', 'Photography']",China
10,Hangzhou,Leifeng Hill Viewpoint,"No. 456 West Lake Scenic Road, Xihu District",119.934151,30.338084,08:30-17:30,11.06,"Leifeng Hill Viewpoint is a historic site in Hangzhou, China, popular for its memorable experiences. Entry fee is 11.06 USD. Recommended visit: 2 hours. Discover Leifeng Hill Viewpoint, a notable historic site in Hangzhou, China, ideal for visitors. Open 08:30-17:30, entry 11.06 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Elderly Travelers', 'Pet Owners', 'Fast-Paced Budget Travel', 'couples trip', 'foodie']",China
