attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Maputo,Mozambique,Nature/Scenery/Park,Maputo Mangrove Reserve,"Maputo Mangrove Reserve is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Maputo Mangrove Reserve, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 08:30-17:00, entry 5.6 USD.",5.6,08:30-17:00,3 hours,3.7,"445 Rama IV Road, Maputo",-25.94221854397405,32.589661414816824,"['solo women', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Maputo,Mozambique,Nature/Scenery/Park,Lusha Valley Greenway,"Lusha Valley Greenway is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Lusha Valley Greenway, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 08:00-20:00, entry 14.98 USD.",14.98,08:00-20:00,3 hours,3.7,"No. 456, Xidan West Street, Maputo",-25.858088470484223,32.57329752920936,['business travelers'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi']"
3,Maputo,Mozambique,Nature/Scenery/Park,Lusha Valley Sanctuary,"Lusha Valley Sanctuary is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Lusha Valley Sanctuary, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 08:00-20:00, entry 6.39 USD.",6.39,08:00-20:00,3 hours,3.7,"793 Seaside Promenade, Maputo",-25.84951877807412,32.64023171684522,"['photography', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
4,Maputo,Mozambique,Nature/Scenery/Park,Maputo Bay Nature Trail,"Maputo Bay Nature Trail is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Maputo Bay Nature Trail, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 09:00-18:00, entry 2.0 USD.",2.0,09:00-18:00,3 hours,3.7,"350 Charoenkrung Road, Samphanthawong District, Maputo",-26.03555859051867,32.95579551500252,"['nightlife enthusiast', 'with children', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences']"
5,Maputo,Mozambique,Nature/Scenery/Park,Lagoon Moonlit Voyage,"Lagoon Moonlit Voyage is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Lagoon Moonlit Voyage, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 08:00-19:00, entry 6.72 USD.",6.72,08:00-19:00,3 hours,3.7,"363 Sukhumvit Road, Maputo",-25.877918466291725,32.619817105177745,"['nightlife enthusiast', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
6,Maputo,Mozambique,Nature/Scenery/Park,Cape Verdant Heights,"Cape Verdant Heights is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Cape Verdant Heights, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 09:30-17:00, entry 12.93 USD.",12.93,09:30-17:00,3 hours,3.7,"No. 456, Riverside Lane, Maputo",-26.04896067032872,32.485952865230004,"['fast-paced budget travel', 'solo women', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'Food markets', 'tasting tours']"
7,Maputo,Mozambique,Nature/Scenery/Park,Sunrise Ridge Culinary Escape,"Sunrise Ridge Culinary Escape is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Sunrise Ridge Culinary Escape, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 08:00-22:00, entry 8.12 USD.",8.12,08:00-22:00,3 hours,3.7,"976 Gwanghwamun Street, Maputo",-26.05252106213731,32.52178853081871,"['with children', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
8,Maputo,Mozambique,Nature/Scenery/Park,Maputo Coastal Scenic Loop Pass,"Maputo Coastal Scenic Loop Pass is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Maputo Coastal Scenic Loop Pass, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 08:30-17:30, entry 11.05 USD.",11.05,08:30-17:30,3 hours,3.7,"496 Sukhumvit Road, Khlong Toei District, Maputo",-25.97759424118428,32.98183856018582,"['solo women', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Maputo,Mozambique,Nature/Scenery/Park,Ocean's Whisper Grove,"Ocean's Whisper Grove is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Ocean's Whisper Grove, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 18:00-21:00, entry 55.55 USD.",55.55,18:00-21:00,3 hours,3.7,"180 Shinsaibashi Street, Chuo Ward, Maputo",-26.02376869011427,32.53071838137678,"['business travelers', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'Food markets', 'tasting tours', 'parking']"
10,Maputo,Mozambique,Nature/Scenery/Park,LushLeaf EcoAdventure Hub,"LushLeaf EcoAdventure Hub is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover LushLeaf EcoAdventure Hub, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 09:00-17:00, entry 12.53 USD.",12.53,09:00-17:00,3 hours,3.7,"No. 456, Xiamen Cultural Arts Center, Maputo",-26.07905437226549,32.45845371697184,"['couples trip', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
11,Maputo,Mozambique,Nature/Scenery/Park,Maputo Coastal Delight Garden,"Maputo Coastal Delight Garden is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Maputo Coastal Delight Garden, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 09:00-17:30, entry 20.74 USD.",20.74,09:00-17:30,3 hours,3.7,"481 Seongsan-ro, Maputo",-26.068735700700365,32.45027995364781,"['solo women', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'parking']"
12,Maputo,Mozambique,Nature/Scenery/Park,Limpopo Wildscape Reserve,"Limpopo Wildscape Reserve is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Limpopo Wildscape Reserve, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 09:00-17:30, entry 6.44 USD.",6.44,09:00-17:30,3 hours,3.7,"148 Orchard Road, Maputo",-25.8684479164958,32.650459008892284,"['solo women', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
13,Maputo,Mozambique,Nature/Scenery/Park,Maputo Valley Thermal Retreat,"Maputo Valley Thermal Retreat is a nature in Maputo, Mozambique, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Maputo Valley Thermal Retreat, a peaceful nature in Maputo, Mozambique, ideal for nature lovers. Open 09:00-17:00, entry 2.8 USD.",2.8,09:00-17:00,3 hours,3.7,"140 Gwanghwamun Street, Jongno-gu, Maputo",-25.969915170010253,32.918154627161606,"['nightlife enthusiast', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'High speed WiFi']"
